index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,39081.0,92.0,40.0,61.0,0.522641658782959,0.5217128992080688,0.6149753332138062,-3475462.7227783203,-67235.00728607178,-280.78060150146484,-53.53118896484375,-245.9545373916626,-580.2663326263428
1,2020-05-10,80300.0,70.0,26.0,46.0,0.6526699066162109,0.4328974187374115,0.4193805754184723,-3440711.5936279297,-66482.00511932373,-251.60999298095703,-42.65573501586914,-222.78602123260498,-517.0517444610596
2,2020-05-17,147654.0,96.0,24.0,29.0,0.6650211215019226,0.5601569414138794,0.41867974400520325,-3369153.594970703,-65734.00497436523,-233.25316905975342,-35.57067155838013,-207.12873935699463,-475.9525775909424
3,2020-05-24,262104.0,177.0,59.0,45.0,0.4216582775115967,0.517422080039978,0.5413800477981567,-3237325.668334961,-64546.003341674805,-218.7213897705078,-28.677053451538086,-188.05757761001587,-435.4560375213623
4,2020-05-31,355291.0,315.0,96.0,57.0,0.3790746033191681,0.44192084670066833,0.2737126648426056,-3005326.8432617188,-62418.00308227539,-200.92706680297852,-22.819669246673584,-171.3065266609192,-395.05326747894287
5,2020-06-07,425089.0,470.0,154.0,110.0,0.539823055267334,0.500827431678772,0.46836981177330017,-2696918.8690185547,-58755.00202178955,-177.96900272369385,-16.72412395477295,-154.3238639831543,-349.01700019836426
6,2020-06-14,556401.0,561.0,200.0,159.0,0.39693424105644226,0.4887336194515228,0.3269098401069641,-2324298.858642578,-53738.00277709961,-157.97580480575562,-10.92313528060913,-136.3010048866272,-305.1999568939209
7,2020-06-21,572412.0,727.0,269.0,182.0,0.4319833219051361,0.5237661600112915,0.5208008885383606,-1844393.9208984375,-47284.00230407715,-140.88926315307617,-6.023070216178894,-121.2437391281128,-268.156099319458
8,2020-06-28,519572.0,954.0,314.0,248.0,0.23992261290550232,0.37521952390670776,0.4672461152076721,-1350154.972076416,-39465.00062942505,-123.13514947891235,-1.685967892408371,-107.36886262893677,-232.19001293182373
9,2020-07-05,343891.0,981.0,347.0,298.0,0.42034098505973816,0.0,0.48837366700172424,-918035.9840393066,-30543.0006980896,-105.07231950759888,0.0,-96.51414155960083,-201.58648490905762
10,2020-07-12,241830.0,888.0,298.0,296.0,0.2750823497772217,0.0,0.31172215938568115,-629269.9813842773,-21761.000156402588,-86.60982847213745,0.0,-85.5255126953125,-172.1353530883789
11,2020-07-19,135996.0,607.0,208.0,247.0,0.44286036491394043,0.0,0.2647198736667633,-430371.95205688477,-14765.000343322754,-69.59405541419983,0.0,-73.40807318687439,-143.00214052200317
12,2020-07-26,100243.0,418.0,164.0,181.0,0.6139468550682068,0.0,0.5302779078483582,-317957.9734802246,-9710.00075340271,-52.18714475631714,0.0,-58.748483657836914,-110.93564033508301
13,2020-08-02,88711.0,270.0,79.0,142.0,0.6195797324180603,0.0,0.3964364528656006,-233064.98527526855,-6577.000617980957,-39.260661602020264,0.0,-45.82317769527435,-85.08384227752686
14,2020-08-09,74014.0,193.0,80.0,80.0,0.7616895437240601,0.0,0.5639206171035767,-158521.99792861938,-4456.000328063965,-29.06334102153778,0.0,-34.94476675987244,-64.00811076164246
15,2020-08-16,68574.0,182.0,53.0,53.0,0.7154906392097473,0.0,0.3543946444988251,-95258.99887084961,-2756.0001611709595,-20.555272698402405,0.0,-23.939724266529083,-44.49499845504761
16,2020-08-23,45619.0,173.0,47.0,56.0,0.15979069471359253,0.0,0.3712621033191681,-37327.00049877167,-1284.9999964237213,-13.731393218040466,0.0,-13.14365416765213,-26.875048875808716
