,budget,env,id,name,o_0,o_1,o_5
724,,binomial,17nuxqd6,azure-sea-2221,-2027166.9387817385,-26719.99931335449,-804.7329139709473
725,,binomial,17nuxqd6,azure-sea-2221,-3987483.2153320312,-60249.996185302734,-493.4158229827881
726,,binomial,17nuxqd6,azure-sea-2221,-8233696.746826172,-138943.99642944336,-108.319251537323
727,,binomial,17nuxqd6,azure-sea-2221,-8317078.399658203,-141854.0096282959,-100.99980354309082
728,,binomial,17nuxqd6,azure-sea-2221,-434551.0482788086,-6836.000084877014,-1077.0445919036863
729,,binomial,17nuxqd6,azure-sea-2221,-1042083.0726623536,-13413.99908065796,-989.7054290771484
730,,binomial,17nuxqd6,azure-sea-2221,-1278386.116027832,-19430.99975585937,-884.1997718811035
731,,binomial,17nuxqd6,azure-sea-2221,-4999295.0439453125,-75054.0018081665,-338.3193612098694
732,,binomial,17nuxqd6,azure-sea-2221,-1584609.031677246,-20676.00011825561,-873.9794826507568
733,,binomial,17nuxqd6,azure-sea-2221,-2495922.8515625,-34581.00080490112,-711.9098567962646
734,,binomial,17nuxqd6,azure-sea-2221,-6458134.460449219,-104153.00369262695,-213.2441997528076
735,,binomial,17nuxqd6,azure-sea-2221,-568540.0009155273,-7942.001223564148,-1049.0653324127195
736,,binomial,17nuxqd6,azure-sea-2221,-3376787.9486083984,-49677.99663543701,-542.2962713241577
737,,binomial,17nuxqd6,azure-sea-2221,-5073239.517211914,-74387.99381256104,-345.4669976234436
738,,binomial,17nuxqd6,azure-sea-2221,-7128759.765625,-114731.00662231444,-173.03302645683289
739,,binomial,17nuxqd6,azure-sea-2221,-1044270.9922790529,-15801.999568939207,-941.8985080718994
740,,binomial,17nuxqd6,azure-sea-2221,-2238829.040527344,-28212.00132369995,-789.1966152191162
741,,binomial,17nuxqd6,azure-sea-2221,-8309349.060058594,-141695.99533081055,-105.33733248710632
742,,binomial,17nuxqd6,azure-sea-2221,-1137870.979309082,-14251.000881195068,-954.10174369812
743,,binomial,17nuxqd6,azure-sea-2221,-3974508.666992188,-60559.00096893311,-453.5983228683472
744,,binomial,17nuxqd6,azure-sea-2221,-8535216.522216797,-146698.99940490723,-89.58093166351318
745,,binomial,17nuxqd6,azure-sea-2221,-8266441.345214844,-139736.00387573242,-107.37541437149048
746,,binomial,17nuxqd6,azure-sea-2221,-4422136.688232422,-66559.00001525879,-408.53562355041504
747,,binomial,17nuxqd6,azure-sea-2221,-3018585.968017578,-42440.00434875488,-612.8587102890015
