,mu_o_1,mu_o_5,mu_o_0,std_o_1,std_o_5,std_o_0
0,-149446.00105285645,-100.34050101041794,-8541710.433959961,0.0,27.9718434228375,77170.92344189598
1,-148659.00039672852,-100.62759771464314,-8539736.506416494,0.0,27.783467174569846,75490.30307344001
2,-148494.00520324707,-100.74613557354846,-8538777.172740191,0.0,27.750909934952073,74792.49410890245
3,-147955.0075531006,-101.85532433976985,-8532318.421718702,0.0,27.23998077217805,69218.34883067904
4,-147656.0115814209,-102.01686521605914,-8525810.990214346,0.0,27.248682060164867,63882.46875847921
5,-147527.99034118652,-103.2182974169579,-8522598.319227228,0.0,27.465728554595003,61790.58176129714
6,-147236.99569702148,-103.52712890114394,-8515157.584758503,0.0,27.472178291971993,58600.92494983609
7,-147098.00720214844,-104.06596574618682,-8509457.776693353,0.0,27.11437359707225,55539.66386636995
8,-146919.99435424805,-105.42495104572349,-8500462.332245294,0.0,26.278925578676294,51462.43290688772
9,-146698.99940490723,-106.21289886028619,-8495171.584218271,0.0,26.143288647581993,50710.79735179035
10,-146640.0146484375,-106.38668972274567,-8493070.16187905,0.0,26.13062868896292,50320.54587180744
11,-146401.99661254883,-107.07790983949273,-8481751.877745057,0.0,26.102829407443362,49337.06912684684
12,-146107.9978942871,-107.8131586918842,-8472827.75477624,0.0,26.07812916802709,51504.869696844784
13,-146031.00776672363,-107.95942457637516,-8470118.869468132,0.0,26.071933482142292,52744.228088690565
14,-145506.98280334473,-108.57016776343752,-8451534.253188904,0.0,25.90120453227745,64523.46871747775
15,-145226.98402404785,-109.4782555803497,-8435150.630033161,0.0,25.488641171010936,71908.34126285513
16,-145120.99266052246,-109.64663101089668,-8430250.048491172,0.0,25.46335489055853,75659.7284660706
17,-144964.00833129883,-110.12760294590768,-8420344.224745523,0.0,25.43875130882285,82857.01934624978
18,-144920.00579833984,-110.77322331297125,-8404970.651896697,0.0,25.131639146609228,79741.18782781622
19,-144770.99418640137,-111.16324415803263,-8392456.045817249,0.0,25.1284133330753,85125.93462593839
20,-144426.9847869873,-111.98023139922107,-8372784.683317726,0.0,25.100667442812927,96586.47489932283
21,-144395.0080871582,-112.03937743940806,-8371652.888186919,0.0,25.088438141978532,96463.20307012925
22,-144172.99270629883,-113.14355635891343,-8363563.947902396,0.0,25.191735848700226,96258.81327115813
23,-144035.005569458,-114.2657194918982,-8353762.326350858,0.0,25.59756456859596,92746.95799932543
24,-143994.0071105957,-114.37484970474307,-8352116.052035978,0.0,25.596496364154333,92487.42781425302
25,-143565.9885406494,-116.21710581180687,-8326543.240272762,0.0,25.55679123097074,102906.41629652923
26,-142966.0129547119,-117.31242505317182,-8299758.725554436,0.0,25.43339723697238,94588.92310250056
