,o_0,o_1,o_2,o_3,o_4,o_5
0,-2539643.8598632812,-42899.99961853027,-350.3136873245239,-72.40270614624023,-292.5222635269165,-715.2387142181396
1,-3924714.6606445312,-72986.00196838379,-258.4561347961426,-47.471537590026855,-179.3853998184204,-485.313081741333
2,-1367314.9108886719,-11346.999406814575,-406.6965579986572,-99.8542594909668,-322.5048542022705,-829.0556907653809
3,-6554644.775390625,-131025.99143981934,-55.57973384857178,-36.10498905181885,-75.00891089439392,-166.69363975524902
4,-7180319.2138671875,-146838.99879455566,-39.464086294174194,-23.83324384689331,-25.664207339286804,-88.96154165267944
5,-7260366.8212890625,-149223.99520874023,-34.03797447681427,-21.330413818359375,-22.858378291130066,-78.2267689704895
6,-6366713.333129883,-129163.00773620605,-81.90447092056274,-43.77570152282715,-70.46340703964233,-196.14357948303223
7,-6484782.409667969,-131457.00454711914,-62.055933475494385,-34.70513582229614,-69.20613646507263,-165.96720218658447
8,-425294.01779174805,-4401.000440120697,-444.9941635131836,-100.00786781311035,-355.6344509124756,-900.6364822387695
9,-6648002.624511719,-134573.01139831543,-61.76234483718872,-39.03240442276001,-51.39999985694885,-152.19475030899048
10,-7262163.543701172,-147581.9969177246,-40.802377462387085,-15.748875141143799,-30.583029985427856,-87.13427782058716
11,-3045881.462097168,-27067.995071411133,-392.77172088623047,-93.88047218322754,-309.44957733154297,-796.1016654968262
12,-5689342.880249023,-110950.01220703125,-131.6269040107727,-39.31551933288574,-134.68230962753296,-305.62472343444824
13,-3165271.3775634766,-56553.001403808594,-273.37470054626465,-58.52126121520996,-231.50651454925537,-563.4025573730469
14,-256312.99018859863,-3510.0001096725464,-481.9540500640869,-90.40900230407715,-362.034273147583,-934.3973159790039
15,-7402400.970458984,-152140.99884033203,-28.0556857585907,-16.500895023345947,-25.363948941230774,-69.92052793502808
16,-5708778.762817383,-114248.00872802734,-140.53800106048584,-43.14312934875488,-109.23296213150024,-292.9141044616699
17,-482124.0425109863,-4651.000201702118,-436.18412017822266,-98.94773483276367,-343.12517642974854,-878.2569885253906
18,-1163366.0316467285,-9654.99997138977,-411.942195892334,-99.77128982543945,-323.3405113220215,-835.0539207458496
19,-5701140.975952148,-113534.98458862305,-142.91951656341553,-44.71132755279541,-112.90844678878784,-300.5392789840698
20,-2629046.4401245117,-23027.000427246094,-400.1540184020996,-87.24709510803223,-319.2200183868408,-806.6210746765137
21,-762069.9882507324,-6635.000109672546,-434.61689949035645,-102.15055465698242,-323.13361167907715,-859.9010467529297
22,-7011313.629150391,-142452.00157165527,-40.68041443824768,-31.93324565887451,-42.78682470321655,-115.40048122406006
23,-5413348.388671875,-105113.00086975098,-135.75721979141235,-42.31451988220215,-128.68762016296387,-306.7593574523926
24,-1546076.0116577148,-13768.997192382812,-397.47629165649414,-102.91501998901367,-319.3347454071045,-819.7260856628418
25,-363243.0076599121,-4106.000065803528,-451.4842987060547,-96.7369270324707,-356.5525770187378,-904.7738075256348
26,-6704161.071777344,-135697.9751586914,-48.87986779212952,-33.521666526794434,-42.3174262046814,-124.71896409988403
27,-4988124.847412109,-95471.01020812988,-160.35497188568115,-40.84761619567871,-115.07878303527832,-316.2813901901245
28,-6680611.419677734,-134210.99662780762,-68.61695647239685,-32.58798599243164,-53.998541831970215,-155.2034854888916
29,-2906479.072570801,-49932.003021240234,-299.8980760574341,-53.04279804229736,-224.74212646484375,-577.6829242706299
30,-1954052.9251098633,-38392.9967880249,-377.6438236236572,-84.36203002929688,-253.7130832672119,-715.7189846038818
31,-317684.0543746948,-3866.9997453689575,-483.98475646972656,-91.6574764251709,-356.1314344406128,-931.7736625671387
32,-6522820.281982422,-132153.99742126465,-62.08617687225342,-34.886465072631836,-61.952853202819824,-158.9254856109619
33,-2612360.5728149414,-23127.999305725098,-384.93878841400146,-96.53584480285645,-317.4199342727661,-798.8945960998535
34,-536024.9042510986,-5340.00039100647,-432.962703704834,-93.9117431640625,-350.2988815307617,-877.1733283996582
35,-7427658.843994141,-151669.9981689453,-29.993417859077454,-16.178741455078125,-25.255972146987915,-71.42812609672546
36,-4368631.744384766,-80807.99102783203,-222.00798988342285,-43.528666496276855,-177.94134616851807,-443.47801208496094
37,-4897342.681884766,-92519.00672912598,-199.28224086761475,-47.293782234191895,-181.57100677490234,-428.147029876709
38,-4726333.6181640625,-86106.00471496582,-185.79866886138916,-46.80436134338379,-204.4018268585205,-437.0048522949219
39,-7291177.3681640625,-147898.99826049805,-29.502910375595093,-18.04540753364563,-38.857436180114746,-86.40575408935547
40,-7239328.0029296875,-148285.9992980957,-35.41014790534973,-16.99199914932251,-29.531461000442505,-81.93360567092896
41,-196094.012260437,-2963.9998078346252,-477.6616096496582,-87.89122581481934,-383.05718898773193,-948.6100196838379
42,-1520647.90725708,-12565.000057220459,-409.729528427124,-102.54639625549316,-316.52750968933105,-828.803539276123
43,-2655031.967163086,-24443.00413131714,-393.21086406707764,-97.84391403198242,-306.2931537628174,-797.3479270935059
44,-3197623.062133789,-61194.00501251221,-287.6047372817993,-61.86343193054199,-207.78076648712158,-557.2488784790039
45,-1586619.0910339355,-12977.999448776245,-407.62572288513184,-99.35988426208496,-313.6215925216675,-820.6071853637695
46,-7095610.809326172,-143845.99685668945,-43.09365451335907,-24.974098205566406,-31.967031955718994,-100.03478527069092
47,-821197.0329284668,-6978.0004024505615,-421.9381809234619,-98.51079940795898,-336.21442317962646,-856.6634178161621
48,-2601210.594177246,-23562.004566192627,-388.96758556365967,-94.85246658325195,-314.88943099975586,-798.7094879150391
49,-3397611.618041992,-32120.001316070557,-384.6249580383301,-102.23640441894531,-283.0106496810913,-769.8720455169678
50,-3120871.5438842773,-28499.996662139893,-389.9330139160156,-97.85232543945312,-294.94481086730957,-782.7301979064941
51,-6155469.131469727,-124105.99708557129,-99.45217370986938,-39.58991765975952,-93.87266635894775,-232.91475772857666
52,-3479028.3203125,-63039.99423980713,-267.2834634780884,-47.13131904602051,-202.06007957458496,-516.4748191833496
53,-940420.8183288574,-8518.999814987183,-421.83852195739746,-101.35187149047852,-317.1867847442627,-840.3772354125977
54,-7022518.157958984,-142941.9994354248,-39.735788106918335,-26.72642946243286,-37.93324530124664,-104.3954610824585
55,-370593.9531326294,-4046.9998121261597,-447.96743392944336,-89.8743724822998,-375.0690221786499,-912.9107475280762
56,-623833.0364227295,-6026.000380516052,-425.7314682006836,-101.82491302490234,-337.6330375671387,-865.1893615722656
57,-7394902.801513672,-151488.9907836914,-32.00209140777588,-16.721103191375732,-25.326257944107056,-74.04944896697998
58,-6391481.018066406,-127338.00888061523,-99.16859865188599,-35.25317192077637,-84.74932909011841,-219.17109489440918
59,-192826.0087966919,-2831.999957561493,-502.1402359008789,-85.62469482421875,-376.7758846282959,-964.5408630371094
60,-5923822.784423828,-119235.99243164062,-100.61057806015015,-41.60080909729004,-97.12141752243042,-239.33279514312744
61,-7321617.889404297,-148930.99784851074,-36.33047342300415,-19.027554988861084,-26.57213807106018,-81.93017244338989
62,-261278.00941467285,-3445.0000524520874,-467.6449775695801,-95.9943962097168,-372.148060798645,-935.7873916625977
63,-2543943.977355957,-23788.99574279785,-398.1614112854004,-99.28862571716309,-300.01749992370605,-797.4675178527832
64,-920969.0093994141,-7811.999320983887,-416.80493354797363,-103.53126525878906,-330.7474374771118,-851.0835647583008
65,-5628501.510620117,-112780.00831604004,-139.3105387687683,-46.847243309020996,-117.7916407585144,-303.9494514465332
66,-1552960.8726501465,-12567.999362945557,-410.17045974731445,-97.2382926940918,-314.29286003112793,-821.7015266418457
67,-6987193.298339844,-140982.99026489258,-43.017032742500305,-26.551213264465332,-47.18309044837952,-116.7513370513916
68,-2874539.1845703125,-25707.004070281982,-396.33641242980957,-97.9487419128418,-301.83725357055664,-796.122407913208
69,-7127494.812011719,-145031.00395202637,-31.12914264202118,-24.462194442749023,-34.403637051582336,-89.99497890472412
70,-2530624.008178711,-48489.00318145752,-340.2555227279663,-65.44437408447266,-269.42362785339355,-675.1235485076904
71,-652593.0404663086,-5920.000672340393,-440.00697135925293,-99.48057174682617,-335.2543592453003,-874.7418403625488
72,-2412277.7938842773,-46640.9969329834,-370.6592559814453,-70.66738605499268,-260.2847099304199,-701.6113758087158
73,-7255610.656738281,-147402.97317504883,-31.25784993171692,-21.221089363098145,-35.968080163002014,-88.44701647758484
74,-3077304.0771484375,-56517.9967880249,-281.04701042175293,-66.55027866363525,-228.4895420074463,-576.0868072509766
75,-6842192.077636719,-138697.0043182373,-49.1931676864624,-28.40750217437744,-44.76012885570526,-122.36080169677734
76,-7176666.259765625,-147066.00189208984,-35.111287236213684,-26.873037815093994,-26.642805337905884,-88.62712383270264
77,-4252471.923828125,-75067.0051574707,-224.59566593170166,-48.56698036193848,-197.0810890197754,-470.2437400817871
78,-7350191.497802734,-150142.0021057129,-34.02848839759827,-17.684762477874756,-24.439460039138794,-76.15270614624023
79,-3171138.0004882812,-30068.998336791992,-369.95091438293457,-101.98321342468262,-307.81562328338623,-779.7498226165771
