,o_0,o_1,o_2,o_3,o_4,o_5
0,-257565.23609161377,-2992.664873600006,-449.9781131744385,-104.6611213684082,-357.1601152420044,-911.7993354797363
1,-2661741.256713867,-19250.16164779663,-377.70864963531494,-110.07104873657227,-292.70265102386475,-780.482292175293
2,-1724886.5127563477,-11880.619525909424,-400.04796981811523,-110.80009460449219,-298.07002544403076,-808.9181900024414
3,-143379.8909187317,-2391.011416912079,-459.99178886413574,-111.94320678710938,-364.5042896270752,-936.4392280578613
4,-106431.18619918823,-2205.492854118347,-475.5049705505371,-111.63606643676758,-364.46380615234375,-951.6048431396484
5,-5821044.540405273,-95299.47280883789,-163.98342847824097,-47.705955505371094,-129.06471490859985,-340.7541275024414
6,-3829361.343383789,-62307.6057434082,-273.323130607605,-80.55908203125,-219.2140817642212,-573.0962753295898
7,-8616146.087646484,-147887.85934448242,-24.793080985546112,-10.979769229888916,-31.78461790084839,-67.55747199058533
8,-3550018.310546875,-27606.64939880371,-381.0978174209595,-104.04097557067871,-282.5949430465698,-767.7337169647217
9,-4094800.9490966797,-65107.2883605957,-290.29788970947266,-42.48520851135254,-233.2205295562744,-566.0036087036133
10,-6018770.599365234,-100078.44924926758,-150.54080486297607,-42.71343231201172,-130.22286891937256,-323.4771251678467
11,-118953.2995223999,-2297.7620363235474,-472.50757217407227,-114.06238555908203,-357.3378562927246,-943.9078330993652
12,-6878517.150878906,-114773.47373962402,-110.93789339065552,-31.57634735107422,-84.96543169021606,-227.4796485900879
13,-70468.008518219,-1944.4449245929718,-499.314022064209,-112.75151252746582,-366.74585342407227,-978.8113594055176
14,-188062.3698234558,-2708.1745862960815,-454.6511650085449,-112.6955509185791,-349.90978240966797,-917.2565460205078
15,-612689.7811889648,-4823.528826236725,-429.087495803833,-110.09744644165039,-318.6840772628784,-857.8690528869629
16,-4931884.384155273,-79663.06686401367,-217.81187057495117,-44.60582256317139,-165.3752565383911,-427.79297828674316
17,-3509499.3591308594,-28261.69490814209,-364.5177364349365,-107.79641151428223,-292.8985357284546,-765.2127742767334
18,-729634.8094940186,-5501.272678375244,-415.85426330566406,-113.31596374511719,-318.9073324203491,-848.0775833129883
19,-8390782.165527344,-142971.9638824463,-33.76654088497162,-12.732542753219604,-42.0204758644104,-88.51956129074097
20,-41529.786586761475,-1808.156669139862,-603.1418800354004,-112.42904663085938,-468.7522888183594,-1184.3233108520508
21,-5316609.954833984,-85083.38928222656,-197.32815027236938,-51.00873947143555,-143.04407835006714,-391.38097763061523
22,-1646373.9395141602,-11313.787698745728,-402.1022319793701,-105.75222969055176,-308.39054584503174,-816.2449836730957
23,-1518876.4572143555,-10663.070678710938,-395.49717903137207,-107.21183776855469,-317.0337677001953,-819.7427749633789
24,-977090.4541015625,-6990.87381362915,-387.679648399353,-115.58228492736816,-329.370641708374,-832.6324462890625
25,-4090610.885620117,-34148.27108383179,-352.3418188095093,-110.05856513977051,-284.5094919204712,-746.9098567962646
26,-1621471.5957641602,-11567.007303237915,-394.1642999649048,-108.06109428405762,-311.8810176849365,-814.1063690185547
27,-1129928.8749694824,-8118.177056312561,-408.54077339172363,-109.43873405456543,-312.4654293060303,-830.4449081420898
28,-489649.6772766113,-4354.9975752830505,-416.1707401275635,-111.94168090820312,-347.48027324676514,-875.5927085876465
29,-536371.7079162598,-4510.9546184539795,-433.6779594421387,-104.72450256347656,-337.0445728302002,-875.4469871520996
30,-180498.08740615845,-2601.7016172409058,-465.1123523712158,-109.92341041564941,-350.1305103302002,-925.1662254333496
31,-277361.6552352905,-3037.1177196502686,-444.4272041320801,-106.34933471679688,-359.0963125228882,-909.8728179931641
32,-5279316.711425781,-85213.7279510498,-188.35498094558716,-51.65786266326904,-127.31173038482666,-367.3245429992676
33,-6327687.072753906,-103658.5807800293,-121.68964147567749,-42.0113468170166,-102.32875347137451,-266.0297155380249
34,-1715627.670288086,-11870.88131904602,-395.9947109222412,-109.39164161682129,-306.51185512542725,-811.8982315063477
35,-8291294.097900391,-141651.611328125,-45.22156119346619,-21.629056930541992,-34.71381962299347,-101.56443119049072
36,-2532719.2306518555,-18703.888654708862,-374.6652603149414,-111.21580123901367,-295.85607051849365,-781.7371368408203
37,-3466990.280151367,-26348.17361831665,-368.867826461792,-106.23993873596191,-294.23089027404785,-769.3386554718018
38,-2156427.3834228516,-15510.02025604248,-392.23194122314453,-110.5246639251709,-290.32394886016846,-793.0805206298828
39,-45400.16055107117,-1818.7491595745087,-534.4029426574707,-111.83507919311523,-413.0589008331299,-1059.2968940734863
40,-43529.7429561615,-1810.036301612854,-552.3154735565186,-114.94902610778809,-420.21336555480957,-1087.4778747558594
41,-40813.5324716568,-1794.8472499847412,-622.7814197540283,-114.70670700073242,-489.3514156341553,-1226.839542388916
42,-8212583.160400391,-139094.0761566162,-48.63157272338867,-20.027503967285156,-51.69490575790405,-120.35398483276367
43,-880998.8021850586,-6570.11866569519,-414.2054557800293,-111.49919509887695,-312.29166984558105,-837.9962921142578
44,-368885.54096221924,-3660.1239442825317,-435.6475353240967,-115.18720626831055,-334.93621349334717,-885.7708930969238
45,-1424223.8998413086,-9728.285670280457,-395.3059911727905,-110.52387237548828,-317.08123683929443,-822.9110717773438
46,-135859.85898971558,-2365.1519417762756,-466.80126190185547,-112.11127281188965,-358.8787078857422,-937.7912521362305
47,-297125.1964569092,-3368.8807487487793,-459.2956066131592,-112.59740829467773,-323.63483905792236,-895.5278396606445
48,-2528810.1196289062,-41360.38780212402,-405.5753707885742,-59.591898918151855,-252.4359941482544,-717.6032066345215
49,-143668.22242736816,-2420.8350479602814,-464.0111446380615,-111.94576263427734,-358.5942029953003,-934.5511436462402
50,-7354789.733886719,-126016.76940917969,-84.93831753730774,-48.38919639587402,-83.34226608276367,-216.66977405548096
51,-1462635.7078552246,-10277.711153030396,-385.589337348938,-108.13507080078125,-327.05795764923096,-820.7823753356934
52,-41936.349868774414,-1801.7899990081787,-613.3073329925537,-109.6989917755127,-471.37207984924316,-1194.37837600708
53,-1791493.797302246,-12209.465503692627,-379.23357486724854,-110.12153625488281,-315.9886121749878,-805.3436279296875
54,-2175433.5403442383,-14762.330055236816,-388.5300874710083,-108.87078285217285,-298.7102270126343,-796.1110591888428
55,-674929.5234680176,-5477.308630943298,-416.28828048706055,-112.39169120788574,-328.75683307647705,-857.4367523193359
56,-3361131.6680908203,-25438.199043273926,-368.21866035461426,-105.1860237121582,-298.8090991973877,-772.2137928009033
57,-1225139.7132873535,-8432.100415229797,-401.27763748168945,-110.8613395690918,-312.2947692871094,-824.433708190918
58,-418001.5563964844,-3923.1133460998535,-422.82233238220215,-113.13032150268555,-342.84284114837646,-878.7955284118652
59,-102130.43689727783,-2136.1708641052246,-472.3297119140625,-110.07177352905273,-375.5633592605591,-957.9648017883301
60,-4803726.577758789,-77254.28581237793,-226.4251708984375,-44.19651508331299,-160.9247088432312,-431.54640197753906
61,-532969.2840576172,-4529.079794883728,-440.9536838531494,-105.65546989440918,-327.7266025543213,-874.3356704711914
62,-52811.163663864136,-1862.8421425819397,-518.7688827514648,-111.93143844604492,-387.9204034805298,-1018.6206817626953
63,-265947.2465515137,-3048.222064971924,-452.9923439025879,-107.61960983276367,-348.8931179046631,-909.5049858093262
64,-8278752.136230469,-140843.1339263916,-58.08933973312378,-20.77467679977417,-30.23170232772827,-109.09571647644043
65,-375559.92603302,-3673.720359802246,-434.4477653503418,-112.72929191589355,-334.429669380188,-881.6066741943359
66,-40876.516699790955,-1801.1775612831116,-625.2302169799805,-114.69247817993164,-479.5639991760254,-1219.4867134094238
67,-2571731.5673828125,-18219.988346099854,-387.17782497406006,-110.60019493103027,-288.6040449142456,-786.3820552825928
68,-333595.70503234863,-3437.3322129249573,-429.04133796691895,-107.11153984069824,-357.9231023788452,-894.075870513916
69,-7825463.8671875,-132508.9168548584,-66.43980741500854,-23.775594234466553,-54.988932609558105,-145.20432949066162
70,-241236.40060424805,-2902.1963477134705,-446.3550090789795,-109.17248725891113,-358.08749198913574,-913.6149406433105
71,-8186811.065673828,-139604.63523864746,-41.57002568244934,-23.368651866912842,-52.877140045166016,-117.8158164024353
72,-3740214.157104492,-29494.781494140625,-361.58177852630615,-105.00041961669922,-294.002628326416,-760.5847835540771
73,-107017.31443405151,-2147.3218500614166,-491.51949882507324,-111.40748023986816,-351.51050090789795,-954.4374465942383
74,-790229.1297912598,-5919.157266616821,-404.3534755706787,-113.07811737060547,-330.0346374511719,-847.4661827087402
75,-133273.9233970642,-2305.881679058075,-458.90040397644043,-110.77237129211426,-370.986270904541,-940.6591415405273
76,-81379.09173965454,-2025.5444943904877,-489.65697288513184,-111.94633483886719,-370.7250118255615,-972.3282814025879
77,-57547.67060279846,-1881.532371044159,-522.7956771850586,-105.34152030944824,-390.0023937225342,-1018.1395530700684
78,-412446.0697174072,-3858.9125871658325,-435.3015899658203,-110.63511848449707,-334.79859828948975,-880.7353019714355
79,-7832400.5126953125,-134038.58184814453,-60.23474335670471,-28.080744743347168,-35.982733964920044,-124.2982268333435
80,-825441.1697387695,-6150.194406509399,-414.1426086425781,-110.75066566467285,-321.7820644378662,-846.6753005981445
81,-1494898.8914489746,-10311.02180480957,-402.297306060791,-107.93561935424805,-309.76977348327637,-820.0027465820312
82,-3741948.699951172,-30445.43504714966,-368.24591159820557,-108.39640617370605,-282.3852062225342,-759.0275287628174
83,-109131.24084472656,-2176.7570078372955,-473.285436630249,-110.21394729614258,-368.84918212890625,-952.348518371582
84,-98543.68567466736,-2128.3532679080963,-479.1015625,-111.95459365844727,-369.6734428405762,-960.7295989990234
85,-7460272.979736328,-127027.54020690918,-97.55480885505676,-42.61117935180664,-66.19575023651123,-206.3617467880249
86,-2014995.7656860352,-14058.256149291992,-393.6504125595093,-109.6194076538086,-297.5628852844238,-800.8326530456543
87,-351816.7972564697,-3474.5290875434875,-448.59485626220703,-108.57065200805664,-336.46883964538574,-893.6343193054199
88,-151838.40990066528,-2442.927062511444,-465.4865264892578,-113.69287490844727,-347.7536678314209,-926.9330978393555
89,-2768069.076538086,-20596.725940704346,-374.67284202575684,-113.0325698852539,-288.42248916625977,-776.1279582977295
90,-365375.5187988281,-3551.0432720184326,-438.6901378631592,-109.73786354064941,-342.83857345581055,-891.2665367126465
91,-61671.76365852356,-1909.6218049526215,-496.1329936981201,-109.02922630310059,-401.8918514251709,-1007.0540428161621
92,-57979.7625541687,-1888.72829079628,-502.30674743652344,-109.47592735290527,-397.0201015472412,-1008.8027000427246
93,-2316497.4212646484,-16586.201190948486,-387.05859184265137,-112.0516300201416,-289.2822027206421,-788.392448425293
94,-4003302.764892578,-33423.731327056885,-365.98567962646484,-106.10429763793945,-279.86979484558105,-751.959753036499
95,-251409.10148620605,-3008.6061358451843,-461.2576484680176,-108.50286483764648,-341.5794372558594,-911.3399505615234
96,-273322.7729797363,-3099.687099456787,-449.8692989349365,-104.57418441772461,-351.76854133605957,-906.212043762207
97,-8249154.6630859375,-140664.8063659668,-54.76168990135193,-19.700380563735962,-35.68481206893921,-110.14688014984131
