,budget,env,id,name,o_0,o_1,o_5
571,5.0,ode,16i4942q,winter-sea-2097,-2464742.088317871,-41141.28112792969,-671.5199947357178
572,5.0,ode,16i4942q,winter-sea-2097,-468958.61625671387,-8543.710708618164,-978.1230926513672
573,5.0,ode,16i4942q,winter-sea-2097,-3408923.33984375,-55194.77844238281,-556.6103839874268
574,5.0,ode,16i4942q,winter-sea-2097,-2001464.4622802732,-32137.365341186523,-749.2822551727295
575,5.0,ode,16i4942q,winter-sea-2097,-7576879.119873047,-126629.7721862793,-122.47098326683044
576,5.0,ode,16i4942q,winter-sea-2097,-42546.85044288635,-1822.221428155899,-1285.1981735229492
577,5.0,ode,16i4942q,winter-sea-2097,-2447379.493713379,-40255.27000427246,-686.3219690322876
578,5.0,ode,16i4942q,winter-sea-2097,-258475.2321243286,-5065.876841545105,-1036.9207191467283
579,5.0,ode,16i4942q,winter-sea-2097,-1117058.1817626953,-18378.29351425171,-863.7593650817871
580,5.0,ode,16i4942q,winter-sea-2097,-2413274.002075196,-40100.46482086182,-694.7830724716187
581,5.0,ode,16i4942q,winter-sea-2097,-5609988.784790039,-90391.09230041504,-313.29660415649414
582,5.0,ode,16i4942q,winter-sea-2097,-46329.05721664429,-1879.8169493675232,-1243.6879634857178
583,5.0,ode,16i4942q,winter-sea-2097,-2422079.277038574,-40969.9010848999,-671.663761138916
584,5.0,ode,16i4942q,winter-sea-2097,-48352.46801376343,-1876.7943978309631,-1252.4706745147705
585,5.0,ode,16i4942q,winter-sea-2097,-1470551.9676208496,-25489.45665359497,-810.7810592651367
586,5.0,ode,16i4942q,winter-sea-2097,-1063707.7331542969,-17484.50517654419,-881.8210601806641
587,5.0,ode,16i4942q,winter-sea-2097,-1330567.2645568848,-22634.644508361816,-814.0159320831299
588,5.0,ode,16i4942q,winter-sea-2097,-6754703.521728516,-112803.2684326172,-169.70202326774597
589,5.0,ode,16i4942q,winter-sea-2097,-141900.5036354065,-3355.366885662079,-1080.928430557251
590,5.0,ode,16i4942q,winter-sea-2097,-1637650.489807129,-27271.16107940674,-787.5604248046875
591,5.0,ode,16i4942q,winter-sea-2097,-113215.80410003662,-2924.2199659347534,-1096.6086673736572
592,5.0,ode,16i4942q,winter-sea-2097,-4689134.216308594,-76858.71601104736,-412.0912027359009
593,5.0,ode,16i4942q,winter-sea-2097,-2171496.2005615234,-36661.765575408936,-700.5866861343384
594,5.0,ode,16i4942q,winter-sea-2097,-5995852.279663086,-102382.85064697266,-243.58766555786133
595,5.0,ode,16i4942q,winter-sea-2097,-56257.23600387573,-2058.6708188056946,-1168.6925411224363
596,5.0,ode,16i4942q,winter-sea-2097,-7995227.05078125,-136187.80136108398,-106.7147970199585
597,5.0,ode,16i4942q,winter-sea-2097,-6766200.256347656,-113489.86625671388,-159.6405851840973
598,5.0,ode,16i4942q,winter-sea-2097,-5841255.569458008,-95601.63497924805,-281.1170482635498
599,5.0,ode,16i4942q,winter-sea-2097,-777163.2194519043,-13597.626686096191,-909.4454097747804
600,5.0,ode,16i4942q,winter-sea-2097,-2584986.114501953,-42030.94482421875,-664.6327257156372
601,5.0,ode,16i4942q,winter-sea-2097,-3927217.483520508,-64530.35831451416,-485.8348274230957
602,5.0,ode,16i4942q,winter-sea-2097,-63629.329204559326,-2161.0242128372192,-1151.023178100586
603,5.0,ode,16i4942q,winter-sea-2097,-147984.13515090942,-3376.432955265045,-1080.183162689209
604,5.0,ode,16i4942q,winter-sea-2097,-336727.78606414795,-6314.895749092102,-1014.5938396453856
605,5.0,ode,16i4942q,winter-sea-2097,-329902.21977233887,-6289.049983024597,-1015.4119777679444
606,5.0,ode,16i4942q,winter-sea-2097,-446818.8285827637,-8090.444803237915,-984.2325210571288
607,5.0,ode,16i4942q,winter-sea-2097,-8300270.843505859,-141967.2966003418,-88.54039549827576
