,budget,env,id,name,o_0,o_1,o_5
0,,ode,15bxse3r,major-sun-2232,-5159022.14050293,-75524.57809448242,-319.7988796234131
1,,ode,15bxse3r,major-sun-2232,-5126282.501220703,-73983.40225219727,-330.08150339126587
2,,ode,15bxse3r,major-sun-2232,-6227142.333984375,-96092.94891357422,-220.74352741241452
3,,ode,15bxse3r,major-sun-2232,-6528612.518310547,-102041.37802124023,-198.49878787994385
4,,ode,15bxse3r,major-sun-2232,-527112.1025085449,-8658.873438835144,-916.1433792114258
5,,ode,15bxse3r,major-sun-2232,-1132721.0426330566,-19943.44592094421,-844.7633171081543
6,,ode,15bxse3r,major-sun-2232,-5823809.432983398,-87648.62060546875,-245.28573989868164
7,,ode,15bxse3r,major-sun-2232,-6898509.216308594,-110899.02877807616,-165.87284803390503
8,,ode,15bxse3r,major-sun-2232,-8032601.9287109375,-137636.30867004397,-111.52716279029846
9,,ode,15bxse3r,major-sun-2232,-4077649.307250977,-64820.8236694336,-495.1009368896485
10,,ode,15bxse3r,major-sun-2232,-1996399.8794555664,-31196.870803833008,-770.657787322998
11,,ode,15bxse3r,major-sun-2232,-1020075.225830078,-15292.3846244812,-853.8759613037109
12,,ode,15bxse3r,major-sun-2232,-975618.1716918944,-14970.601797103882,-859.1092300415039
13,,ode,15bxse3r,major-sun-2232,-3510802.459716797,-53418.3931350708,-540.4823684692383
14,,ode,15bxse3r,major-sun-2232,-704359.8175048828,-11648.281812667848,-891.1393547058105
15,,ode,15bxse3r,major-sun-2232,-5314541.6259765625,-77394.77634429932,-297.8644180297852
16,,ode,15bxse3r,major-sun-2232,-889897.2511291504,-14257.445335388184,-863.5868453979492
17,,ode,15bxse3r,major-sun-2232,-7474294.281005859,-125190.46783447266,-126.7372727394104
18,,ode,15bxse3r,major-sun-2232,-2945753.09753418,-42972.55992889404,-637.5557613372803
19,,ode,15bxse3r,major-sun-2232,-5231092.45300293,-75821.83837890625,-314.76478099823
20,,ode,15bxse3r,major-sun-2232,-7879651.641845703,-132725.2197265625,-112.37419366836548
21,,ode,15bxse3r,major-sun-2232,-2012478.256225586,-32388.269901275635,-766.4029026031494
22,,ode,15bxse3r,major-sun-2232,-7870289.611816406,-132165.57502746582,-117.7570867538452
23,,ode,15bxse3r,major-sun-2232,-5770353.317260742,-85914.64042663574,-253.0027985572815
24,,ode,15bxse3r,major-sun-2232,-5566897.201538086,-82324.70512390137,-273.1615734100342
25,,ode,15bxse3r,major-sun-2232,-3271287.5366210938,-47620.43476104736,-599.0321588516235
26,,ode,15bxse3r,major-sun-2232,-6341769.027709961,-98137.48359680176,-199.9380612373352
27,,ode,15bxse3r,major-sun-2232,-2058874.3209838867,-32890.34605026245,-759.4860649108887
28,,ode,15bxse3r,major-sun-2232,-5320193.099975586,-78724.33662414551,-293.7874174118042
29,,ode,15bxse3r,major-sun-2232,-6811195.373535156,-108794.56520080566,-171.91518902778623
30,,ode,15bxse3r,major-sun-2232,-3558564.758300781,-52551.13124847412,-566.0077285766602
