,mu_o_1,mu_o_5,mu_o_0,std_o_1,std_o_5,std_o_0
0,-149303.70330810547,-107.53719234466553,-8426785.888671875,0.0,13.367470323317768,159480.52775274476
1,-147391.64352416992,-107.56070486216944,-8411100.690384522,0.0,13.381824382927892,141154.38472836406
2,-147207.83233642578,-108.92324855528143,-8416854.337362152,0.0,13.07493314861941,142889.85263427722
3,-147109.06982421875,-109.20904649062982,-8416288.604304543,0.0,13.081890258386153,142290.534698223
4,-147086.50588989258,-109.66386455218961,-8410815.03425269,0.0,13.302340066060626,137726.73289874618
5,-147046.07963562012,-110.40486211190269,-8400490.76743269,0.0,13.791023312572724,131133.27936853858
6,-146903.2859802246,-110.63158358908501,-8403927.238327315,0.0,13.856174705703584,132999.38051691256
7,-146870.20301818848,-110.89265193720519,-8403814.446545469,0.0,13.636048205257707,132565.67423126445
8,-146694.0402984619,-111.21293135530273,-8406799.592470836,0.0,13.678591463694291,135075.86322261655
9,-146376.46675109863,-112.02812667859205,-8399402.295479286,0.0,13.977936976361672,129545.60366760196
10,-146151.79061889648,-112.37385942774797,-8394536.712527428,0.0,14.181213369547047,125846.53943918779
11,-145967.4835205078,-112.52382252102862,-8383743.991593356,0.0,14.23191709648638,117061.25314429254
12,-145394.63996887207,-112.69709745849858,-8371067.624333371,0.0,14.114633318981909,107382.06393987045
13,-144873.70491027832,-113.12422457007506,-8358960.269129405,0.0,13.733483160737036,98061.94446491478
14,-144468.3837890625,-114.40157867907155,-8342612.932332328,0.0,14.678386864079428,97421.80283762346
15,-144105.8349609375,-115.51775626515027,-8327700.533735332,0.0,15.61522763407125,98269.8229752753
16,-143873.57711791992,-116.47969868951789,-8316092.903280027,0.0,16.43177987678421,97642.45605910245
17,-143698.06289672852,-117.4563727746302,-8305749.406748447,0.0,17.236074118195177,96358.7285177745
18,-142848.86360168457,-122.9823432841935,-8257815.206414893,0.0,21.07372571828952,99174.05600535306
19,-142617.91229248047,-124.21553549490264,-8260185.5573733505,0.0,21.900654762717597,106657.90848952612
20,-141983.62350463867,-126.92898228837323,-8230842.786091998,0.0,23.68185050845433,115106.98401097555
21,-141842.18406677246,-127.61049722863837,-8222677.016222064,0.0,24.08319931929663,116554.65494658367
22,-141462.78381347656,-128.6595427701439,-8211080.6075787395,0.0,24.01069874238914,102029.11142527813
23,-141383.6669921875,-129.8236205679051,-8191439.401823993,0.0,24.0139878097005,100248.86910262323
24,-141227.90336608887,-130.29518850528365,-8195817.054834512,0.0,24.03488515631555,93474.84879071768
25,-140722.26524353027,-131.0898498017838,-8190591.3098023925,0.0,24.0311832062261,78434.29890006826
26,-140621.49047851562,-131.21006664019146,-8189492.657416744,0.0,24.057803547641576,75670.47842096041
27,-140619.6117401123,-131.21271477943267,-8189452.088091424,0.0,24.058878798863965,75653.96421491646
28,-140462.44621276855,-131.52148446092644,-8185154.169375703,0.0,24.020410679828963,74083.34556717203
29,-140309.7915649414,-131.81267003947545,-8179932.265446286,0.0,23.97076280705002,74541.94339563434
30,-140119.9722290039,-133.550827334309,-8160778.684607865,0.0,24.237885923132236,75754.38523133492
31,-139913.27285766602,-133.9156617875719,-8149789.404503517,0.0,24.157819875349702,76783.47288047307
32,-139231.0619354248,-135.04994250954172,-8120675.850244748,0.0,23.87435842451315,78063.54011773804
33,-139146.52824401855,-135.25574113315548,-8116317.428820884,0.0,23.74330073952496,77789.21371253108
34,-138478.17420959473,-136.91506211353155,-8081717.364186485,0.0,22.70742999015944,76313.68852616333
35,-137985.59188842773,-137.97323805948787,-8059065.503182121,0.0,22.201438949519382,77527.96598313305
36,-137905.5404663086,-138.16827671069842,-8055600.152255165,0.0,22.12558275081473,77779.91679019011
37,-137859.9452972412,-138.29264094186593,-8052970.740836455,0.0,22.10181154180506,78783.68213262339
38,-137636.30867004397,-139.44745313214187,-8030008.680317238,0.0,21.256049291692765,81142.40672038963
39,-137342.6628112793,-139.96708870230123,-8013844.968690981,0.0,21.48933083886018,88172.07752010772
40,-137069.34928894043,-140.61013500963008,-7999062.823227282,0.0,21.78612663975609,95017.02900566842
41,-136925.6591796875,-140.90000646141516,-7990920.936278261,0.0,21.935070727865593,98580.29724306513
42,-136518.16368103027,-143.29634215061498,-7970652.404104369,0.0,21.264203508530553,112913.68392672962
43,-135473.48022460938,-145.31664034362504,-7906899.418606326,0.0,22.536825724071182,135597.32917267494
44,-134486.89460754397,-147.63838250599474,-7864989.238737051,0.0,24.402278172858693,129358.19342631844
45,-134092.7505493164,-148.70209819499405,-7850071.604015264,0.0,25.089197547269617,129316.16908957086
46,-133561.60163879397,-150.54467906024743,-7805307.787606689,0.0,25.962680149304923,116958.37886223267
47,-133510.51330566406,-150.73112087371968,-7801045.765265982,0.0,26.042404770361077,116784.36120778088
48,-132866.02020263672,-152.8724908174603,-7776633.3420814555,0.0,27.083767440837747,117468.93105662611
49,-132725.2197265625,-153.58673208082396,-7771099.386038555,0.0,27.673844624381335,117973.63404646097
50,-132165.57502746582,-157.48292631413233,-7750716.8662859155,0.0,28.544255261546315,121800.18188594808
