,o_0,o_1,o_2,o_3,o_4,o_5
0,-6417891.693115234,-130131.01577758789,-89.40407037734985,-42.373108863830566,-62.92460560798645,-194.70176696777344
1,-75920.99905014038,-2214.999943971634,-499.8191833496094,-107.74557113647461,-367.55101680755615,-975.1158714294434
2,-377176.97620391846,-4450.99949836731,-436.31482124328613,-104.21031951904297,-347.21219539642334,-887.7373695373535
3,-35135.99932193756,-1825.0000476837158,-569.4516181945801,-112.75322914123535,-442.7527904510498,-1124.9577522277832
4,-41374.99928474426,-1915.999948978424,-506.0758113861084,-108.45541000366211,-415.9517765045166,-1030.483055114746
5,-7308154.296875,-149767.0078277588,-29.67158854007721,-20.352275371551514,-31.11787736415863,-81.14174604415894
6,-3332143.020629883,-61176.9962310791,-300.19450187683105,-31.549158096313477,-232.27596282958984,-564.0196323394775
7,-1169438.8389587402,-9907.000064849854,-408.85610580444336,-101.5491771697998,-324.95532035827637,-835.3605270385742
8,-5842963.409423828,-117630.0048828125,-135.13522148132324,-45.47053337097168,-132.96890258789062,-313.5746479034424
9,-141887.00914382935,-2569.9999928474426,-478.27444076538086,-108.61506462097168,-344.61231231689453,-931.5018653869629
10,-2667618.942260742,-48013.99230957031,-334.58776473999023,-53.38981628417969,-266.2169933319092,-654.1944980621338
11,-2829008.102416992,-56660.003662109375,-319.51286792755127,-70.1409387588501,-245.1138973236084,-634.7675800323486
12,-67027.99797058105,-2090.9999310970306,-508.86645317077637,-105.48561096191406,-374.62384700775146,-988.976001739502
13,-7012220.764160156,-141723.00338745117,-36.830535531044006,-27.95799493789673,-39.266303181648254,-104.0548324584961
14,-6099544.906616211,-123657.01675415039,-124.94975328445435,-46.0830020904541,-83.512943983078,-254.5457124710083
15,-4733149.719238281,-92202.9972076416,-209.7423553466797,-55.537123680114746,-175.63321590423584,-440.91267585754395
16,-130329.00094985962,-2615.000009536743,-477.81505584716797,-101.2200927734375,-365.45000076293945,-944.4850921630859
17,-40662.99796104431,-1860.9999120235443,-534.8973274230957,-107.88177490234375,-415.8566951751709,-1058.6357116699219
18,-207006.00147247314,-3163.0000472068787,-463.5054588317871,-100.96497535705566,-349.7420072555542,-914.2124176025391
19,-6989028.9306640625,-144184.00764465332,-40.838342905044556,-33.33918333053589,-31.564047932624817,-105.74157238006592
20,-7394132.232666016,-150965.99578857422,-29.527515172958374,-15.052324533462524,-25.56985914707184,-70.14970183372498
21,-5286717.224121094,-105729.99954223633,-160.43649911880493,-49.07815456390381,-143.4514284133911,-352.9660701751709
22,-48084.99813079834,-1981.000006198883,-522.7797508239746,-100.41125297546387,-406.9209098815918,-1030.1118850708008
23,-3416968.1549072266,-66329.00714874268,-227.02383995056152,-59.28940773010254,-252.84442901611328,-539.1577243804932
24,-7121822.357177734,-143936.98692321777,-44.28539276123047,-21.418986320495605,-36.10718846321106,-101.81156396865845
25,-5285832.595825195,-104856.00471496582,-184.90296602249146,-49.13341999053955,-140.63045978546143,-374.6668338775635
26,-53285.00270843506,-2094.999998807907,-522.6471424102783,-108.65334510803223,-392.61062145233154,-1023.9109039306641
