,o_0,o_1,o_2,o_3,o_4,o_5
0,-65262.77661323547,-1930.5482506752014,-495.464563369751,-112.03656196594238,-387.76302337646484,-995.2640533447266
1,-48149.168491363525,-1835.2529406547546,-515.6028270721436,-113.01603317260742,-410.4339122772217,-1039.052677154541
2,-130213.96398544312,-2265.452742576599,-472.8731632232666,-111.18167877197266,-354.2229652404785,-938.2778167724609
3,-828131.3896179199,-6219.9413776397705,-416.4876937866211,-113.6751651763916,-316.54298305511475,-846.7058181762695
4,-1781297.492980957,-12379.159927368164,-377.41966247558594,-114.48013305664062,-309.41805839538574,-801.3178825378418
5,-7827347.564697266,-134377.88009643555,-61.32907271385193,-41.306047439575195,-57.88147449493408,-160.5165719985962
6,-2954786.491394043,-47764.883041381836,-383.32767486572266,-70.62103748321533,-228.41238975524902,-682.3610782623291
7,-127774.70350265503,-2294.8792576789856,-466.0897731781006,-115.59613227844238,-357.84268379211426,-939.5285606384277
8,-79006.83879852295,-2056.5786957740784,-496.02503776550293,-110.21153450012207,-376.71236991882324,-982.9490661621094
9,-104278.14722061157,-2118.229418992996,-457.7352046966553,-112.89167404174805,-379.60448265075684,-950.2313613891602
10,-757711.64894104,-5716.643929481506,-420.7089424133301,-112.56065368652344,-316.6560649871826,-849.925708770752
11,-59005.54656982422,-1882.5913965702057,-494.7611331939697,-113.3198356628418,-391.1794424057007,-999.2603302001953
12,-181433.84456634521,-2560.086250305176,-456.45008087158203,-108.69284629821777,-357.84640312194824,-922.9893684387207
13,-648059.0343475342,-5135.297775268555,-413.4627342224121,-112.10895538330078,-332.3068618774414,-857.8784942626953
14,-8325187.683105469,-144841.4707183838,-37.54761219024658,-28.438286781311035,-30.718109011650085,-96.70401215553284
15,-5353713.226318359,-86132.80296325684,-224.39703941345215,-46.80398464202881,-180.80720901489258,-452.0082473754883
16,-672090.5303955078,-5420.181155204773,-426.7902374267578,-112.63229370117188,-316.7006015777588,-856.123161315918
