,o_0,o_1,o_2,o_3,o_4,o_5
0,-6722229.766845703,-114468.00231933594,-61.488497257232666,-40.49570083618164,-56.23922944068909,-158.2234239578247
1,-2027979.0878295898,-35927.00004577637,-398.9487648010254,-82.85782814025879,-199.00504350662231,-680.8116817474365
2,-128583.99152755737,-2966.0001397132874,-683.4568977355957,-103.04699897766113,-220.94955444335938,-1007.453498840332
3,-45080.000162124634,-1639.000028371811,-686.0262870788574,-116.81097984313965,-535.4438304901123,-1338.281192779541
4,-5876978.68347168,-99141.99829101562,-102.2168755531311,-46.61590576171875,-95.30209302902222,-244.13485765457153
5,-40628.99947166443,-1633.9999437332153,-689.4585609436035,-115.34083366394043,-559.6754550933838,-1364.4748306274414
6,-421251.9645690918,-7702.000141143799,-530.7238101959229,-94.7335147857666,-349.8178005218506,-975.2751445770264
7,-2740007.0190429688,-47002.99263000488,-410.2335453033447,-67.68074989318848,-119.62718963623047,-597.5414943695068
8,-3749534.9884033203,-60227.999687194824,-216.44046306610107,-53.20731163024902,-188.47954273223877,-458.1273078918457
9,-91532.00387954712,-2520.0000405311584,-552.9425144195557,-102.53113746643066,-394.5338726043701,-1050.007495880127
10,-1730624.9618530273,-30606.000423431396,-493.841028213501,-84.2112922668457,-147.30112552642822,-725.3536033630371
11,-48730.9992313385,-1786.00013256073,-718.8151359558105,-108.48882675170898,-377.00867652893066,-1204.3126201629639
12,-2922647.0947265625,-49878.00121307373,-383.6686611175537,-66.87347888946533,-105.66374063491821,-556.205906867981
13,-64886.99913024902,-2088.9997482299805,-723.5727310180664,-95.96475601196289,-286.1067533493042,-1105.644235610962
14,-8148139.953613281,-137770.0138092041,-41.85585081577301,-15.192350149154663,-40.33423960208893,-97.38244771957397
15,-6431803.131103516,-109527.99797058105,-74.29995536804199,-41.51205539703369,-73.80568385124207,-189.61769342422485
16,-3832410.8123779297,-64640.99884033203,-273.1297731399536,-59.19449806213379,-124.14920330047607,-456.47347927093506
17,-2768029.022216797,-46348.99616241455,-437.1368408203125,-58.01051139831543,-119.3639874458313,-614.5113801956177
18,-58253.00216674805,-1969.9999690055847,-567.6309108734131,-106.84988975524902,-432.5161933898926,-1106.997013092041
19,-7108702.850341797,-122219.00939941406,-52.71042585372925,-41.95073127746582,-46.20565176010132,-140.8668065071106
20,-4707947.158813477,-78438.99726867676,-191.65908098220825,-50.930914878845215,-153.11434268951416,-395.7043647766113
21,-8433876.80053711,-144518.00346374512,-29.839980602264404,-13.090070486068726,-35.50206422805786,-78.43210995197296
22,-4538130.950927734,-73926.00059509277,-166.89079999923706,-52.52767086029053,-179.4256329536438,-398.84413719177246
23,-2537475.01373291,-42079.00047302246,-387.3818874359131,-62.281179428100586,-174.6406078338623,-624.303674697876
24,-101261.00778579712,-2686.000168323517,-659.1090679168701,-103.30150604248047,-279.5414924621582,-1041.9520282745361
25,-6632518.005371094,-114301.9962310791,-70.86871266365051,-46.01826190948486,-43.605250120162964,-160.49225091934204
26,-84033.00046920776,-2448.0000138282776,-541.9772148132324,-107.55960464477539,-426.54428482055664,-1076.0810565948486
27,-4895625.686645508,-79607.00511932373,-177.46970653533936,-45.441012382507324,-168.6762571334839,-391.5870237350464
28,-70420.0029373169,-2126.999944448471,-495.59268951416016,-104.49350357055664,-490.6623840332031,-1090.748405456543
29,-8440364.837646484,-144970.98922729492,-32.19820261001587,-14.364068508148193,-26.85980498790741,-73.4220814704895
30,-3644857.7880859375,-58015.0032043457,-149.62362051010132,-63.43198776245117,-303.3754587173462,-516.4310216903687
31,-4395043.9453125,-72989.99786376953,-202.34220027923584,-54.16175842285156,-167.30433702468872,-423.80829334259033
32,-7349866.485595703,-124669.00825500488,-44.666630029678345,-36.27920150756836,-55.57833909988403,-136.52417063713074
33,-6649392.7001953125,-112836.99035644531,-91.46187901496887,-45.03195762634277,-45.78278064727783,-182.27661609649658
34,-5572858.428955078,-92944.99397277832,-136.45702600479126,-47.5443172454834,-102.58700847625732,-286.5883469581604
35,-4104937.3626708984,-69277.99701690674,-218.88704299926758,-59.979615211486816,-152.85900831222534,-431.72565937042236
36,-2151898.0026245117,-36978.9981842041,-459.55986976623535,-68.53586673736572,-131.70108795166016,-659.7968101501465
37,-2948096.0845947266,-47759.00363922119,-271.54383659362793,-58.792572021484375,-233.58311653137207,-563.9194679260254
38,-4843483.734130859,-79921.00238800049,-128.865647315979,-54.8905611038208,-194.28839683532715,-378.0445718765259
39,-805353.0693054199,-14213.999509811401,-631.4465999603271,-92.97329902648926,-168.6901569366455,-893.1100273132324
40,-5058167.266845703,-84823.00758361816,-183.93118381500244,-46.089229583740234,-136.58206462860107,-366.60252571105957
41,-7276413.726806641,-121843.99604797363,-47.95269072055817,-29.952476024627686,-67.14816689491272,-145.05332708358765
42,-4556750.106811523,-75430.00221252441,-136.86811923980713,-62.07911968231201,-198.66433143615723,-397.61152267456055
43,-6413619.9951171875,-108364.99214172363,-86.46281957626343,-46.7893123626709,-58.58603119850159,-191.83815479278564
44,-3387911.2243652344,-56307.0011138916,-218.65577697753906,-64.04830932617188,-237.23926544189453,-519.9433422088623
45,-6960033.416748047,-117963.00888061523,-60.52936911582947,-39.07994747161865,-57.94174671173096,-157.55103707313538
46,-578026.008605957,-10085.000991821289,-546.3912963867188,-92.84913063049316,-295.4601287841797,-934.7005748748779
47,-5378896.713256836,-90645.0080871582,-106.42869472503662,-52.161149978637695,-139.2378568649292,-297.8277039527893
48,-80416.99528694153,-2361.000031232834,-538.36350440979,-105.80839157104492,-438.31114768981934,-1082.483081817627
49,-4780696.487426758,-79867.00057983398,-158.56741666793823,-55.51979064941406,-177.1073579788208,-391.1945629119873
50,-1413778.018951416,-23569.002151489258,-378.8102388381958,-79.7636604309082,-356.86020851135254,-815.4340267181396
51,-3663973.9990234375,-60221.99630737305,-204.929780960083,-58.90927791595459,-226.47581100463867,-490.31493186950684
52,-7199904.632568359,-121588.0012512207,-58.13091993331909,-29.42887544631958,-59.85236167907715,-147.41215825080872
53,-4822964.859008789,-79305.00030517578,-172.59258031845093,-39.672770500183105,-180.65341711044312,-392.9187297821045
54,-290172.00469970703,-5619.000196456909,-692.1073913574219,-99.58176612854004,-186.3351583480835,-978.0243873596191
55,-112862.01477050781,-2828.0001878738403,-621.0132598876953,-105.7831859588623,-312.35270500183105,-1039.149227142334
56,-7818840.789794922,-129214.99252319336,-52.80157923698425,-13.664308786392212,-43.97754669189453,-110.4434323310852
57,-1424546.1463928223,-25692.999362945557,-527.8481960296631,-85.30754089355469,-191.6648268699646,-804.8205471038818
58,-2013961.0290527344,-34848.99997711182,-478.67722511291504,-69.76457595825195,-137.37372159957886,-685.8154821395874
59,-101005.99527359009,-2626.0000467300415,-707.6173782348633,-97.88249015808105,-238.47575187683105,-1043.9755725860596
60,-274965.0239944458,-5364.999771118164,-519.932746887207,-103.06392669677734,-364.7674560546875,-987.764196395874
61,-8115493.7744140625,-137058.99238586426,-50.45024752616882,-12.069641351699829,-37.04608678817749,-99.56598043441772
62,-49168.99800300598,-1802.9999732971191,-679.302453994751,-110.25582313537598,-402.98662185668945,-1192.5448036193848
63,-214889.0256881714,-4534.99972820282,-697.4701881408691,-103.87164115905762,-191.52300357818604,-992.8648567199707
64,-272407.0072174072,-5475.999712944031,-693.9900398254395,-99.33372497558594,-191.41236543655396,-984.7362613677979
65,-7480619.049072266,-127068.0046081543,-55.08160591125488,-27.52546787261963,-41.86449646949768,-124.47157859802246
66,-3156527.900695801,-53229.99954223633,-308.1183671951294,-71.59711837768555,-148.38852882385254,-528.1040382385254
67,-6913613.8916015625,-118491.99295043945,-62.75534629821777,-43.14287185668945,-44.66582536697388,-150.5640435218811
68,-2861880.111694336,-47203.99856567383,-405.46393394470215,-60.495548248291016,-124.37469959259033,-590.3342485427856
69,-117643.01061630249,-2870.0000047683716,-587.9883766174316,-103.85332107543945,-340.8182621002197,-1032.659912109375
70,-727661.9911193848,-13088.998794555664,-589.8824214935303,-92.90431022644043,-227.74851322174072,-910.5352020263672
71,-8186263.275146484,-139830.98983764648,-28.89617383480072,-24.220032691955566,-42.820292711257935,-95.93650102615356
72,-5691738.8916015625,-95068.98880004883,-105.31706809997559,-43.61231803894043,-130.35132884979248,-279.280743598938
73,-447445.011138916,-8168.00057888031,-537.9258155822754,-97.35414505004883,-328.71737480163574,-963.9974212646484
74,-1520283.9851379395,-26331.9993019104,-480.87453842163086,-84.26421165466309,-218.32449436187744,-783.4633827209473
75,-2428055.191040039,-41711.0013961792,-449.790620803833,-70.28448104858398,-117.68064498901367,-637.7556610107422
76,-1887653.923034668,-32648.003101348877,-484.57841873168945,-81.88545227050781,-152.44423151016235,-718.9081048965454
77,-41588.99784088135,-1696.000099182129,-715.4525279998779,-111.60903930664062,-381.8401575088501,-1208.9018154144287
78,-1708571.8154907227,-29218.997955322266,-501.6834259033203,-78.31823348999023,-165.4654622077942,-745.4671669006348
79,-3907259.750366211,-66721.00067138672,-291.403603553772,-54.89696025848389,-100.31121969223022,-446.61179065704346
80,-1688305.0918579102,-27101.998329162598,-337.9552364349365,-69.87339496612549,-367.0365571975708,-774.8652076721191
81,-60903.000831604004,-1959.0000808238983,-613.6341571807861,-105.77396392822266,-404.59370613098145,-1124.0019607543945
82,-42447.999119758606,-1694.0000653266907,-622.8638648986816,-114.18371200561523,-519.6587562561035,-1256.7064189910889
83,-852383.9950561523,-15132.999420166016,-625.0395774841309,-88.85976791381836,-173.75363111495972,-887.652997970581
84,-808462.0475769043,-14103.999137878418,-613.6322975158691,-86.18268013000488,-200.3413438796997,-900.1562976837158
85,-1007817.9359436035,-17352.99825668335,-596.3977336883545,-88.18854331970215,-160.55490970611572,-845.1411437988281
86,-6085657.88269043,-101853.99055480957,-120.58918476104736,-37.63638496398926,-82.92683362960815,-241.15239143371582
87,-4086991.1193847656,-65931.00070953369,-143.06509494781494,-58.67258548736572,-249.86531734466553,-451.6030168533325
88,-6216229.248046875,-104932.00302124023,-105.94857931137085,-42.578911781311035,-84.8902940750122,-233.4177803993225
89,-6576831.817626953,-113238.99269104004,-77.60155200958252,-46.10607147216797,-56.346434354782104,-180.05405187606812
90,-1391269.0162658691,-24163.00058364868,-421.3672637939453,-76.98975086212158,-313.96474838256836,-812.321720123291
