,o_0,o_1,o_2,o_3,o_4,o_5
0,-2027166.9387817383,-26719.999313354492,-444.0916061401367,-22.299809455871582,-338.34145069122314,-804.7329139709473
1,-3987483.2153320312,-60249.996185302734,-281.308388710022,-23.87521743774414,-188.23217153549194,-493.4158229827881
2,-8233696.746826172,-138943.99642944336,-42.20600128173828,-14.76733922958374,-51.345908641815186,-108.319251537323
3,-8317078.399658203,-141854.0096282959,-36.011457443237305,-20.117015838623047,-44.87133026123047,-100.99980354309082
4,-434551.0482788086,-6836.000084877014,-625.812816619873,-43.575310707092285,-407.65647888183594,-1077.0445919036865
5,-1042083.0726623535,-13413.999080657959,-533.4715366363525,-23.975975513458252,-432.25789070129395,-989.7054290771484
6,-1278386.116027832,-19430.999755859375,-484.40189361572266,-46.7474889755249,-353.05042266845703,-884.1997718811035
7,-4999295.0439453125,-75054.0018081665,-173.19220304489136,-18.426576852798462,-146.7005968093872,-338.3193612098694
8,-1584609.031677246,-20676.000118255615,-475.8005619049072,-27.617802619934082,-370.5610513687134,-873.9794826507568
9,-2495922.8515625,-34581.00080490112,-359.98685359954834,-29.346299171447754,-322.5766897201538,-711.9098567962646
10,-6458134.460449219,-104153.00369262695,-103.37432622909546,-18.505821228027344,-91.36404395103455,-213.24419975280762
11,-568540.0009155273,-7942.001223564148,-583.6992740631104,-39.36872959136963,-425.997257232666,-1049.0653324127197
12,-3376787.9486083984,-49677.99663543701,-303.58190536499023,-32.066025733947754,-206.6483974456787,-542.2962713241577
13,-5073239.517211914,-74387.99381256104,-186.84639930725098,-10.725140571594238,-147.8954792022705,-345.4669976234436
14,-7128759.765625,-114731.00662231445,-85.97857356071472,-9.739830493927002,-77.31461524963379,-173.03302645683289
15,-1044270.9922790527,-15801.999568939209,-523.251485824585,-40.2593994140625,-378.3876895904541,-941.8985080718994
16,-2238829.0405273438,-28212.00132369995,-414.44196701049805,-19.47587490081787,-355.2788734436035,-789.1966152191162
17,-8309349.060058594,-141695.99533081055,-52.47069001197815,-15.702910423278809,-37.163737416267395,-105.33733248710632
18,-1137870.979309082,-14251.000881195068,-521.5596199035645,-22.135286331176758,-410.4067802429199,-954.1017436981201
19,-3974508.6669921875,-60559.000968933105,-239.32876586914062,-34.98616695404053,-179.28333282470703,-453.59832286834717
20,-8535216.522216797,-146698.99940490723,-49.59040284156799,-12.423112392425537,-27.56742537021637,-89.58093166351318
21,-8266441.345214844,-139736.00387573242,-34.78149175643921,-16.128040552139282,-56.46587610244751,-107.37541437149048
22,-4422136.688232422,-66559.00001525879,-199.22220706939697,-25.315065383911133,-183.9983344078064,-408.53562355041504
23,-3018585.968017578,-42440.00434875488,-304.05967235565186,-26.4093017578125,-282.38978385925293,-612.8587102890015
24,-5726294.708251953,-86930.99975585938,-134.98471975326538,-13.878490924835205,-132.8502058982849,-281.71337842941284
25,-3093960.952758789,-46834.001541137695,-323.2834815979004,-38.487539291381836,-232.08746910095215,-593.8585424423218
26,-7870523.0712890625,-130656.99577331543,-53.30139398574829,-13.953009843826294,-59.927916526794434,-127.18230485916138
27,-5002073.287963867,-77084.0072631836,-172.49568700790405,-25.210840702056885,-131.87429904937744,-329.5808529853821
28,-2257339.096069336,-31451.001167297363,-370.5044746398926,-38.599112033843994,-345.9300756454468,-755.033597946167
29,-1553197.0024108887,-22255.99765777588,-481.8004608154297,-33.97209644317627,-345.1111078262329,-860.8836936950684
30,-7226846.3134765625,-119644.99473571777,-73.13941717147827,-24.133458137512207,-61.602407693862915,-158.87527585029602
31,-7840935.516357422,-131287.00256347656,-57.428741455078125,-14.374182224273682,-49.97834861278534,-121.78128004074097
32,-6416080.474853516,-101766.99638366699,-120.94262838363647,-13.809294700622559,-85.45197248458862,-220.20388841629028
33,-741822.9579925537,-10500.000715255737,-577.09059715271,-39.22621250152588,-406.28509521484375,-1022.6021003723145
34,-8304222.106933594,-141450.99639892578,-39.40469026565552,-14.477795362472534,-51.61368250846863,-105.49617290496826
35,-5363175.964355469,-80116.99676513672,-154.36840057373047,-14.124679565429688,-140.4347538948059,-308.92777919769287
36,-5378944.396972656,-79563.99440765381,-163.2678747177124,-12.89060115814209,-139.23009634017944,-315.3885555267334
37,-2105528.0685424805,-29155.99822998047,-394.64826583862305,-36.76403522491455,-331.04560375213623,-762.4579524993896
38,-6141282.272338867,-96663.99002075195,-112.07505464553833,-14.449926614761353,-104.48505878448486,-231.01003646850586
39,-1270606.1363220215,-16903.998851776123,-530.4599761962891,-25.968575477600098,-366.07229709625244,-922.5008583068848
40,-7626282.501220703,-126259.00268554688,-64.45624828338623,-12.724148035049438,-61.869680881500244,-139.0500819683075
41,-7018284.606933594,-113898.00071716309,-91.61145091056824,-15.153776407241821,-73.06825518608093,-179.83344554901123
42,-8501416.015625,-144964.00833129883,-34.44027304649353,-12.96213984489441,-43.32621097564697,-90.72861671447754
43,-1456982.0404052734,-21678.998470306396,-495.35980224609375,-44.2509651184082,-322.87580966949463,-862.4865818023682
44,-4282579.42199707,-66499.99618530273,-228.6289930343628,-32.730445861816406,-153.6143183708191,-414.97374057769775
45,-5424530.410766602,-80148.00071716309,-144.67198848724365,-14.783575534820557,-146.74862623214722,-306.2042212486267
46,-1175976.9439697266,-17317.999601364136,-478.757381439209,-46.09508991241455,-371.47700786590576,-896.3295364379883
47,-1002668.9529418945,-12927.999496459961,-551.207447052002,-27.172958850860596,-416.21551513671875,-994.595890045166
48,-1704558.9447021484,-23698.999881744385,-451.4444351196289,-34.62546348571777,-353.7554979324341,-839.8253917694092
49,-7952955.627441406,-133215.0173187256,-48.53404462337494,-13.689477443695068,-52.38248109817505,-114.6060061454773
50,-4706047.058105469,-70160.00270843506,-199.00448322296143,-16.97690725326538,-171.44079208374023,-387.4222183227539
51,-675455.9516906738,-9083.999395370483,-588.8731479644775,-30.63114643096924,-415.192174911499,-1034.6964168548584
52,-2799084.0911865234,-42328.00006866455,-325.714635848999,-36.45941734313965,-279.7375440597534,-641.9116687774658
53,-6454656.219482422,-102342.00477600098,-106.58395290374756,-17.37229585647583,-93.3932900428772,-217.34954595565796
54,-617908.9546203613,-8612.99991607666,-600.3246307373047,-36.80124282836914,-408.47883224487305,-1045.6048107147217
55,-4680439.376831055,-68157.99713134766,-198.00602197647095,-13.286454677581787,-180.8534026145935,-392.14582443237305
56,-7986565.399169922,-135134.00077819824,-49.29285645484924,-14.888993501663208,-47.23995327949524,-111.42179489135742
57,-5397101.974487305,-80882.00569152832,-157.52002000808716,-11.90518856048584,-128.33473682403564,-297.75994062423706
58,-4797791.290283203,-70648.0073928833,-199.92563724517822,-16.01116418838501,-157.14645385742188,-373.08321475982666
59,-6926452.63671875,-111007.99560546875,-85.19561886787415,-15.025115013122559,-85.99618673324585,-186.2169313430786
60,-6894926.452636719,-111003.99017333984,-95.03021240234375,-10.700993537902832,-82.27783441543579,-188.009033203125
61,-6126247.024536133,-94282.01675415039,-129.81103658676147,-14.514777660369873,-97.33137488365173,-241.65720462799072
62,-2753531.837463379,-40065.999031066895,-355.3863763809204,-38.76694202423096,-303.7200927734375,-697.8734064102173
63,-353650.02155303955,-5062.000155448914,-603.64089012146,-35.65337419509888,-462.0879650115967,-1101.3820552825928
64,-6686498.260498047,-108086.00425720215,-91.5373146533966,-19.930174350738525,-83.14470052719116,-194.61220264434814
65,-6164120.4833984375,-96527.00424194336,-117.44589805603027,-14.45608139038086,-107.21430778503418,-239.11627292633057
66,-8418359.375,-144920.00579833984,-49.5073676109314,-12.56381869316101,-32.437482476234436,-94.50866460800171
67,-1270128.059387207,-17173.999547958374,-507.40694999694824,-41.35767936706543,-372.5714445114136,-921.3361358642578
68,-2003419.8760986328,-25923.001766204834,-451.04808807373047,-24.631636142730713,-354.6187400817871,-830.2983570098877
69,-5149966.812133789,-78887.99667358398,-161.92926168441772,-21.13908052444458,-141.03875160217285,-324.1071081161499
70,-1151298.9044189453,-16131.999492645264,-480.7459831237793,-36.09903335571289,-411.32516860961914,-928.1701469421387
71,-6541555.023193359,-105504.98008728027,-91.81722402572632,-20.464696884155273,-93.6430037021637,-205.9249448776245
72,-1352730.941772461,-19154.000282287598,-510.3680610656738,-34.25010919570923,-351.08675956726074,-895.7050323486328
73,-5280937.957763672,-79041.99600219727,-154.09374237060547,-19.654396772384644,-147.5299596786499,-321.2781286239624
74,-3520814.895629883,-52405.00450134277,-291.6980981826782,-30.900378227233887,-213.7615203857422,-536.3600063323975
75,-6427738.952636719,-101631.00242614746,-116.73752069473267,-11.640970706939697,-100.24915933609009,-228.62765550613403
76,-5553029.632568359,-84550.99105834961,-133.3705186843872,-15.271470546722412,-134.1208815574646,-282.76289463043213
77,-4907929.611206055,-71059.99946594238,-193.73228549957275,-13.525489568710327,-163.8581395149231,-371.1159324645996
78,-6383190.91796875,-99731.99844360352,-112.60744333267212,-14.334537982940674,-102.6409387588501,-229.58292961120605
79,-961104.0115356445,-11996.999979019165,-547.7371692657471,-23.668365478515625,-426.8714904785156,-998.2770824432373
80,-8405426.788330078,-144172.99270629883,-47.136616706848145,-13.533899784088135,-35.05175709724426,-95.72227835655212
81,-4299207.68737793,-63369.0071105957,-206.31036758422852,-24.193382263183594,-201.11443996429443,-431.61815643310547
82,-5986386.871337891,-93082.0083618164,-121.39085531234741,-16.797971725463867,-106.44261837005615,-244.6314525604248
83,-2516966.0568237305,-34420.00389099121,-386.6875410079956,-27.320783138275146,-335.6539249420166,-749.6623134613037
84,-1170294.9523925781,-16306.99872970581,-485.59303283691406,-35.80334186553955,-403.0245304107666,-924.420804977417
85,-5011450.576782227,-75029.99782562256,-174.177086353302,-15.886433124542236,-150.05924701690674,-340.12274980545044
86,-5667314.910888672,-87055.99784851074,-141.5708303451538,-14.216482639312744,-124.45223331451416,-280.23951530456543
87,-8122166.442871094,-138128.98635864258,-41.29078686237335,-19.731889963150024,-48.0843722820282,-109.10704851150513
88,-7581680.2978515625,-127343.0061340332,-71.67222499847412,-19.706482887268066,-44.00563836097717,-135.384339094162
89,-7695422.36328125,-129878.00598144531,-60.96842288970947,-16.836873292922974,-51.3691246509552,-129.17441368103027
90,-2369514.0838623047,-31830.00087738037,-386.7617607116699,-27.269692420959473,-340.01784324645996,-754.0492916107178
91,-2739877.128601074,-41674.99542236328,-345.55182456970215,-38.837127685546875,-267.32306480407715,-651.7119884490967
92,-5026949.691772461,-76299.00455474854,-172.45382070541382,-18.557512760162354,-144.76057291030884,-335.77192783355713
93,-7307881.927490234,-120141.00074768066,-68.50266456604004,-14.957813024520874,-69.47686672210693,-152.93734788894653
94,-6414012.145996094,-101185.98937988281,-115.00571966171265,-12.63522744178772,-101.10793113708496,-228.74886989593506
95,-4400927.734375,-67913.00296783447,-208.14697742462158,-27.0064115524292,-166.56826734542847,-401.7216110229492
96,-5836113.357543945,-88751.00135803223,-130.32090663909912,-12.45847225189209,-109.87796783447266,-252.65737295150757
97,-1832996.940612793,-26381.99806213379,-445.74575424194336,-29.515259265899658,-337.37804889678955,-812.6389503479004
98,-7718702.697753906,-128534.99412536621,-43.96849870681763,-20.791378021240234,-68.26151609420776,-133.0213987827301
99,-1582497.0245361328,-23357.996940612793,-475.29706954956055,-40.82956314086914,-343.20709705352783,-859.3337631225586
100,-7503146.3623046875,-124405.00259399414,-64.5134687423706,-16.007739305496216,-64.25342559814453,-144.77463483810425
101,-1089004.9934387207,-13400.00033378601,-553.264331817627,-22.47126579284668,-414.3796443939209,-990.1151847839355
102,-8371782.684326172,-142721.99630737305,-36.19632124900818,-20.330820083618164,-42.60541796684265,-99.13256764411926
103,-8530823.516845703,-146932.99293518066,-43.74227821826935,-12.969882488250732,-32.42865800857544,-89.14082407951355
104,-5370661.163330078,-79609.0030670166,-155.94098567962646,-11.006979942321777,-143.66562366485596,-310.61357975006104
105,-8481387.329101562,-146401.99661254883,-33.83028507232666,-18.93884539604187,-36.91866993904114,-89.68780159950256
106,-3688451.7669677734,-55372.99156188965,-282.1347951889038,-27.660841941833496,-188.412606716156,-498.20817947387695
107,-271952.0092010498,-4384.999871253967,-621.9528675079346,-43.316969871520996,-457.61804580688477,-1122.8877925872803
108,-5185353.088378906,-77268.00441741943,-157.69429206848145,-14.896142482757568,-152.1473526954651,-324.73777055740356
109,-8329161.834716797,-142351.9992828369,-49.2493212223053,-13.232959508895874,-37.28586435317993,-99.76814389228821
