,o_0,o_1,o_2,o_3,o_4,o_5
0,-318248.48651885986,-6176.992654800415,-677.8779983520508,-89.77295875549316,-229.1792631149292,-996.8302345275879
1,-4976433.563232422,-79702.2294998169,-62.2130811214447,-48.422274589538574,-288.5664701461792,-399.2017936706543
2,-2007703.971862793,-34087.419509887695,-377.14684009552,-75.03070831298828,-274.08506870269775,-726.2626361846924
3,-79778.78451347351,-2439.2348527908325,-710.7671737670898,-106.5166187286377,-281.0896873474121,-1098.3734321594238
4,-2746823.8830566406,-46963.14811706543,-426.95093154907227,-68.07252407073975,-132.46246576309204,-627.4858045578003
5,-4475047.302246094,-68646.75521850586,-333.197546005249,-26.527278423309326,-109.50061082839966,-469.22547340393066
6,-766467.5712585449,-13659.274578094482,-571.1581230163574,-100.24141311645508,-241.59159660339355,-912.9910755157471
7,-1145968.7232971191,-20200.135707855225,-473.4179496765137,-90.77645301818848,-281.44824504852295,-845.6426525115967
8,-7891932.678222656,-133560.85777282715,-45.71974575519562,-18.348175287246704,-33.393776416778564,-97.46170163154602
9,-56711.75718307495,-2038.5748147964478,-588.2458686828613,-104.04939651489258,-461.9871139526367,-1154.282341003418
10,-1760185.6231689453,-29949.181079864502,-460.6631278991699,-77.8685712814331,-228.73780727386475,-767.2695350646973
11,-5412157.440185547,-88797.12104797363,-53.519582748413086,-48.33666801452637,-250.07336139678955,-351.92959785461426
12,-4998490.905761719,-77627.59685516357,-94.52502131462097,-40.8609676361084,-284.9400520324707,-420.3260564804077
13,-7913933.563232422,-131088.91487121582,-38.0229651927948,-15.250567197799683,-53.700417280197144,-106.97394132614136
14,-1057090.2824401855,-18587.262630462646,-596.4856624603271,-82.07452774047852,-189.8267388343811,-868.386926651001
15,-6764335.632324219,-107416.18156433105,-64.32725191116333,-17.46788263320923,-80.4539144039154,-162.24904417991638
16,-488815.4983520508,-9329.227805137634,-639.2961025238037,-104.79081153869629,-199.59269762039185,-943.6795806884766
17,-42437.41035461426,-1826.8728256225586,-647.780179977417,-115.48135757446289,-528.3788681030273,-1291.640453338623
18,-484152.6985168457,-9004.050493240356,-570.5903053283691,-96.6782283782959,-300.89964866638184,-968.16819190979
19,-415199.5658874512,-7943.985462188721,-666.8264865875244,-97.57606506347656,-212.24792003631592,-976.6504096984863
20,-5157996.74987793,-79056.3440322876,-85.50703525543213,-25.64342498779297,-290.4513359069824,-401.60179138183594
21,-673998.7373352051,-12046.103477478027,-599.3093013763428,-92.12024688720703,-244.48795318603516,-935.9174823760986
22,-48731.72044754028,-1888.9915943145752,-635.755443572998,-88.2657241821289,-521.9979763031006,-1246.0190391540527
23,-6310950.85144043,-102004.13703918457,-112.18427419662476,-30.17916440963745,-123.7546443939209,-266.11809253692627
24,-352702.260017395,-6876.897811889648,-644.266414642334,-97.3680305480957,-243.14303398132324,-984.7776317596436
25,-47100.02541542053,-1889.420747756958,-728.5888195037842,-101.77312850952148,-388.15324306488037,-1218.5151958465576
26,-5068460.845947266,-82515.31600952148,-73.02942276000977,-48.802242279052734,-260.84420680999756,-382.6759099960327
27,-57961.72022819519,-2060.2011680603027,-652.953052520752,-108.76876831054688,-365.5247211456299,-1127.246618270874
28,-746581.1252593994,-13685.266971588135,-608.8930606842041,-95.9367561340332,-203.31792831420898,-908.1478214263916
29,-72832.07178115845,-2291.353791952133,-644.121265411377,-97.79448509216309,-363.3784770965576,-1105.2942180633545
30,-302019.3099975586,-6188.838481903076,-634.7476482391357,-107.9219913482666,-252.81062126159668,-995.48020362854
31,-138042.0684814453,-3366.982638835907,-570.6151008605957,-103.07533264160156,-383.85963439941406,-1057.5499534606934
32,-1842060.8520507812,-32223.93035888672,-506.0093879699707,-74.68724250793457,-149.14847612380981,-729.8451232910156
33,-66674.79276657104,-2174.9433875083923,-617.390775680542,-102.08818435668945,-397.12672233581543,-1116.6056728363037
34,-1221884.0599060059,-21395.6618309021,-593.8567638397217,-105.30598640441895,-135.18660068511963,-834.3492221832275
35,-333421.56410217285,-6495.911478996277,-537.404727935791,-101.13924980163574,-356.8230867385864,-995.3670787811279
36,-95626.10387802124,-2664.9487018585205,-636.5819454193115,-98.2257080078125,-356.35526180267334,-1091.1629676818848
37,-2133141.8991088867,-36388.62371444702,-358.5623025894165,-74.84760284423828,-272.0036745071411,-705.4135465621948
38,-8299487.3046875,-139525.02250671387,-30.827784538269043,-11.139624118804932,-36.70377731323242,-78.67119133472443
39,-8498428.344726562,-146167.24014282227,-34.48103070259094,-14.994977712631226,-26.688802242279053,-76.16481184959412
