,o_0,o_1,o_2,o_3,o_4,o_5
0,-5159022.14050293,-75524.57809448242,-173.72082471847534,-16.435091495513916,-129.64295148849487,-319.7988796234131
1,-5126282.501220703,-73983.40225219727,-164.16430473327637,-13.464350700378418,-152.45285034179688,-330.08150339126587
2,-6227142.333984375,-96092.94891357422,-109.64088439941406,-18.6380934715271,-92.46455430984497,-220.74352741241455
3,-6528612.518310547,-102041.37802124023,-86.48580312728882,-21.008410453796387,-91.00456833839417,-198.49878787994385
4,-527112.1025085449,-8658.873438835144,-621.5670108795166,-108.76321792602539,-185.81304550170898,-916.1433792114258
5,-1132721.0426330566,-19943.445920944214,-653.6802291870117,-106.49274826049805,-84.59033966064453,-844.7633171081543
6,-5823809.432983398,-87648.62060546875,-135.15008687973022,-11.483219861984253,-98.65245819091797,-245.28573989868164
7,-6898509.216308594,-110899.02877807617,-68.46641302108765,-23.568782806396484,-73.83764386177063,-165.87284803390503
8,-8032601.9287109375,-137636.30867004395,-37.41947412490845,-31.36951446533203,-42.73817241191864,-111.52716279029846
9,-4077649.3072509766,-64820.823669433594,-237.25240230560303,-46.245670318603516,-211.60295009613037,-495.10093688964844
10,-1996399.8794555664,-31196.870803833008,-417.501163482666,-55.36212921142578,-297.79441356658936,-770.657787322998
11,-1020075.2258300781,-15292.384624481201,-590.2109622955322,-113.09709548950195,-150.567889213562,-853.8759613037109
12,-975618.1716918945,-14970.601797103882,-598.4798908233643,-112.39540100097656,-148.23400974273682,-859.1092300415039
13,-3510802.459716797,-53418.3931350708,-334.2879056930542,-32.04054594039917,-174.15390014648438,-540.4823684692383
14,-704359.8175048828,-11648.281812667847,-617.2089099884033,-111.64324760437012,-162.28718757629395,-891.1393547058105
15,-5314541.6259765625,-77394.77634429932,-158.02505016326904,-13.993582725524902,-125.84575414657593,-297.86441802978516
16,-889897.2511291504,-14257.445335388184,-499.45621490478516,-107.58316040039062,-256.54754638671875,-863.5868453979492
17,-7474294.281005859,-125190.46783447266,-44.04653310775757,-28.397107124328613,-54.29362654685974,-126.7372727394104
18,-2945753.0975341797,-42972.55992889404,-341.48359298706055,-28.562920093536377,-267.50922203063965,-637.5557613372803
19,-5231092.45300293,-75821.83837890625,-158.68968963623047,-11.94584608078003,-144.12928819656372,-314.76478099823
20,-7879651.641845703,-132725.2197265625,-38.78047168254852,-26.943583488464355,-46.65014445781708,-112.37419366836548
21,-2012478.256225586,-32388.269901275635,-392.49908924102783,-59.02028560638428,-314.8834705352783,-766.4029026031494
22,-7870289.611816406,-132165.57502746582,-37.48770356178284,-29.053916931152344,-51.21546387672424,-117.75708675384521
23,-5770353.317260742,-85914.64042663574,-137.73378133773804,-12.563028335571289,-102.70599126815796,-253.0027985572815
24,-5566897.201538086,-82324.70512390137,-140.8428430557251,-13.56765627861023,-118.75109672546387,-273.1615734100342
25,-3271287.5366210938,-47620.43476104736,-332.30135440826416,-30.11693239212036,-236.61396503448486,-599.0321588516235
26,-6341769.027709961,-98137.48359680176,-100.60583353042603,-13.763487339019775,-85.56873798370361,-199.9380612373352
27,-2058874.3209838867,-32890.34605026245,-571.5033054351807,-108.8248062133789,-79.15798425674438,-759.4860649108887
28,-5320193.099975586,-78724.33662414551,-157.7200174331665,-16.802289485931396,-119.26511526107788,-293.7874174118042
29,-6811195.373535156,-108794.56520080566,-84.4219982624054,-14.157978296279907,-73.33521246910095,-171.91518902778625
30,-3558564.7583007812,-52551.13124847412,-311.0116720199585,-30.4392147064209,-224.5568037033081,-566.0077285766602
31,-6839370.7275390625,-110837.58354187012,-79.34407591819763,-16.01243019104004,-76.26233100891113,-171.6188371181488
32,-2063702.0111083984,-35774.147510528564,-559.8069190979004,-96.37451171875,-77.85719633102417,-734.0386390686035
33,-5126200.103759766,-75561.38515472412,-163.09808492660522,-16.59686803817749,-136.07213497161865,-315.7671117782593
34,-5143264.7705078125,-75170.01628875732,-166.424298286438,-15.744094848632812,-141.6759967803955,-323.84438037872314
35,-5232601.165771484,-76176.08070373535,-160.24574041366577,-13.618872165679932,-138.11163902282715,-311.97622776031494
36,-5131447.219848633,-74468.77002716064,-166.00914001464844,-12.070587873458862,-148.37206602096558,-326.4517879486084
37,-1448922.061920166,-24630.577564239502,-608.2199573516846,-102.11568832397461,-90.43716192245483,-800.7728576660156
38,-3882834.243774414,-58574.35703277588,-312.32385635375977,-26.040878295898438,-178.73878479003906,-517.1035480499268
39,-5044476.318359375,-74052.24323272705,-167.69312620162964,-18.320207595825195,-143.16918849945068,-329.1825771331787
40,-4893346.786499023,-70732.25975036621,-189.11120891571045,-13.376860618591309,-169.57823038101196,-372.0663356781006
41,-6186772.537231445,-95841.28379821777,-106.8657636642456,-16.11363172531128,-98.98644089698792,-221.96584224700928
42,-3245013.0462646484,-49864.90249633789,-324.82330799102783,-32.66857624053955,-228.5511016845703,-586.0430145263672
43,-5486201.858520508,-80512.86697387695,-145.15740871429443,-11.513757705688477,-124.63102340698242,-281.30218505859375
44,-2336937.141418457,-35745.66125869751,-437.12120056152344,-37.23024368286133,-273.03011417388916,-747.381534576416
45,-3076774.9786376953,-45572.333335876465,-369.7397470474243,-28.640823364257812,-211.1950159072876,-609.5756006240845
46,-5017158.126831055,-72203.30715179443,-175.19752979278564,-13.318123817443848,-152.08696126937866,-340.60258626937866
47,-5878361.892700195,-87392.50183105469,-122.67392873764038,-12.716201543807983,-113.47565650939941,-248.8657808303833
48,-7254683.685302734,-116720.04699707031,-62.858450412750244,-21.934802532196045,-70.21558880805969,-155.00882863998413
49,-1934905.8151245117,-34770.18356323242,-532.3123455047607,-101.69662475585938,-120.89145183563232,-754.9003028869629
50,-8120191.192626953,-138478.17420959473,-31.600886583328247,-28.2399320602417,-44.78457570075989,-104.62539911270142
51,-1841805.4580688477,-30122.91193008423,-401.7392158508301,-69.2558479309082,-311.2168312072754,-782.2118854522705
52,-3476082.229614258,-51497.52140045166,-322.92585372924805,-27.43035316467285,-232.3258399963379,-582.6819705963135
53,-3539619.827270508,-51166.81098937988,-311.64469718933105,-25.94583511352539,-246.2484836578369,-583.8390111923218
54,-2813796.806335449,-44616.618156433105,-375.8981227874756,-42.846951484680176,-216.9394016265869,-635.6844806671143
55,-6069101.333618164,-93314.54277038574,-111.22571229934692,-13.936624526977539,-100.12013912200928,-225.28246879577637
56,-5913020.324707031,-88213.6058807373,-115.2834415435791,-11.730573177337646,-110.0509762763977,-237.0650053024292
57,-5245795.440673828,-76044.46411132812,-169.17368173599243,-16.11200213432312,-128.66451740264893,-313.9502263069153
58,-4961002.731323242,-71561.39373779297,-176.7337203025818,-12.916374206542969,-168.86237859725952,-358.5124897956848
59,-5186153.030395508,-75158.97750854492,-161.4675521850586,-13.150436878204346,-150.76617002487183,-325.38416147232056
60,-5431806.564331055,-80176.1245727539,-149.7847557067871,-16.373655796051025,-118.03752183914185,-284.19596672058105
61,-6926747.894287109,-111667.72842407227,-68.17967891693115,-18.632755279541016,-75.97122192382812,-162.78364062309265
62,-6044020.843505859,-91281.52847290039,-100.93498229980469,-10.52675485610962,-123.99393320083618,-235.45567989349365
63,-5568761.06262207,-82058.52508544922,-143.71764659881592,-14.033401012420654,-119.98980045318604,-277.74083375930786
64,-2022701.072692871,-31811.375617980957,-429.9720287322998,-43.71755599975586,-293.89522075653076,-767.5847911834717
65,-5318994.522094727,-77044.28672790527,-153.31584215164185,-13.382848501205444,-134.87071990966797,-301.56938552856445
66,-7255172.7294921875,-119059.98229980469,-59.78778004646301,-24.17992353439331,-59.31330919265747,-143.2810091972351
67,-7208370.9716796875,-117410.03036499023,-61.21044158935547,-22.16449499130249,-63.47559690475464,-146.85052514076233
68,-4618771.3623046875,-67315.75965881348,-233.55481624603271,-18.000688552856445,-155.39790391921997,-406.95337772369385
