,o_0,o_1,o_2,o_3,o_4,o_5
0,-2093293.571472168,-25103.859901428223,-483.72130393981934,-11.226158142089844,-356.6462993621826,-851.5937232971191
1,-3245871.7346191406,-43137.79830932617,-343.5929536819458,-19.86587643623352,-290.2507781982422,-653.7096548080444
2,-6075761.413574219,-101865.19622802734,-143.81279945373535,-42.69915580749512,-87.54000663757324,-274.05198097229004
3,-4494546.5087890625,-72603.48320007324,-220.37451267242432,-47.166690826416016,-216.94750785827637,-484.4886589050293
4,-8180158.996582031,-141219.59686279297,-32.6433002948761,-31.35183572769165,-45.2502965927124,-109.24542903900146
5,-8021662.902832031,-137941.08390808105,-56.078243255615234,-26.130118370056152,-51.95530652999878,-134.16366577148438
6,-3065603.6376953125,-49264.22119140625,-318.00079345703125,-59.41084384918213,-247.12843894958496,-624.5400524139404
7,-7357664.489746094,-116374.62615966797,-52.15032696723938,-21.675472259521484,-122.22486734390259,-196.0506820678711
8,-7581530.76171875,-124074.24926757812,-58.11401605606079,-29.767169952392578,-87.22171783447266,-175.1029086112976
9,-1580665.3022766113,-18760.377168655396,-556.1692714691162,-11.926766633987427,-387.64259815216064,-955.7385349273682
10,-2220578.384399414,-29916.78476333618,-425.8925437927246,-29.666147232055664,-343.3666229248047,-798.9252662658691
11,-2276554.8706054688,-27987.778186798096,-455.63035011291504,-12.005668878555298,-345.8146810531616,-813.4506511688232
12,-8418608.856201172,-145402.71759033203,-31.563127040863037,-29.153881072998047,-30.609184503555298,-91.32619142532349
13,-870614.3379211426,-11432.304382324219,-567.7870750427246,-27.181262969970703,-431.0080051422119,-1025.976276397705
14,-4351387.023925781,-69540.54355621338,-210.07726192474365,-53.32683086395264,-246.2834358215332,-509.6875190734863
15,-3347423.9349365234,-52129.37831878662,-289.8231506347656,-53.614115715026855,-270.4371690750122,-613.8744306564331
16,-7080807.4951171875,-111898.35548400879,-42.562490701675415,-32.94363498687744,-146.24648094177246,-221.75259590148926
17,-8531192.016601562,-147208.57620239258,-30.84893822669983,-23.129587173461914,-34.29238498210907,-88.27090859413147
18,-509990.35835266113,-6695.041656494141,-617.5804138183594,-31.218297481536865,-473.01292419433594,-1121.8115615844727
19,-811367.4163818359,-11355.342864990234,-554.5187950134277,-32.399094104766846,-448.4654903411865,-1035.3834056854248
20,-535083.1031799316,-7767.322063446045,-573.8346099853516,-36.704678535461426,-455.0114631652832,-1065.5509185791016
21,-2561471.748352051,-32724.885940551758,-420.1277256011963,-16.02360725402832,-318.1105852127075,-754.2618942260742
22,-7491533.660888672,-120875.17738342285,-61.86061501502991,-31.417112350463867,-88.74130845069885,-182.01903820037842
23,-5782036.209106445,-92726.98402404785,-154.68722581863403,-40.021400451660156,-145.37279605865479,-340.081422328949
24,-6355669.784545898,-106985.24475097656,-103.2480239868164,-47.90543556213379,-87.43351697921753,-238.58697652816772
25,-219427.82402038574,-3845.156729221344,-638.5923862457275,-52.17158794403076,-489.0774726867676,-1179.8413467407227
26,-6171443.176269531,-102725.18157958984,-125.36178827285767,-45.08270740509033,-85.75252294540405,-256.197030544281
27,-8465519.714355469,-144485.55946350098,-46.93446755409241,-15.312281847000122,-32.09853172302246,-94.34528589248657
28,-2294985.3897094727,-29347.381591796875,-445.9853172302246,-20.537643432617188,-334.5839500427246,-801.1069107055664
29,-856774.4255065918,-10685.15419960022,-594.2283630371094,-21.36441707611084,-435.51177978515625,-1051.1045837402344
30,-8113261.413574219,-140022.3445892334,-46.35402262210846,-34.40892696380615,-44.15689706802368,-124.91985082626343
31,-888031.3873291016,-10975.008010864258,-591.5270328521729,-18.12955617904663,-439.08939361572266,-1048.7459564208984
32,-5771545.791625977,-96100.89302062988,-142.40747690200806,-47.715115547180176,-86.30275130271912,-276.4253497123718
33,-4228097.152709961,-67794.90947723389,-203.29318046569824,-46.50282382965088,-283.1601142883301,-532.956132888794
34,-6489552.307128906,-109971.923828125,-108.646559715271,-43.605613708496094,-75.94664692878723,-228.198823928833
35,-2438727.9510498047,-31660.161018371582,-424.1434097290039,-23.9926815032959,-316.12632274627686,-764.2623710632324
36,-342306.0178756714,-5292.3959493637085,-605.834150314331,-41.60564422607422,-474.8981475830078,-1122.337875366211
37,-250584.2924118042,-4212.455153465271,-622.2702503204346,-50.338191986083984,-495.81308364868164,-1168.421401977539
38,-1915959.358215332,-22515.16819000244,-501.36752128601074,-12.462825775146484,-362.72313594818115,-876.5534591674805
39,-2171573.829650879,-26622.66969680786,-447.51391410827637,-14.34084415435791,-364.12296295166016,-825.977725982666
40,-7340193.939208984,-116420.51696777344,-46.44588232040405,-24.802584648132324,-122.78169393539429,-194.03018474578857
41,-2384204.864501953,-30355.637073516846,-433.316707611084,-15.828850269317627,-332.29174613952637,-781.4372634887695
42,-2778660.5834960938,-42585.3967666626,-359.78615283966064,-41.429386138916016,-280.1430940628052,-681.3586378097534
43,-2668267.4407958984,-34873.76928329468,-407.2765350341797,-18.728532791137695,-320.2847480773926,-746.2898540496826
44,-5327481.460571289,-85887.60375976562,-181.84194564819336,-46.47658348083496,-153.61367464065552,-381.93222999572754
45,-2566499.900817871,-33986.735343933105,-431.8060874938965,-18.951212167739868,-298.2088804244995,-748.9662265777588
46,-3675481.0333251953,-55139.06002044678,-258.150839805603,-39.815452098846436,-286.2980604171753,-584.2644309997559
47,-7820802.307128906,-132885.48469543457,-42.90198087692261,-39.26156044006348,-56.98326826095581,-139.14680242538452
48,-8552542.114257812,-146992.1588897705,-37.84193992614746,-14.562119245529175,-37.78603971004486,-90.19009351730347
49,-4068326.5686035156,-57419.55280303955,-257.70280361175537,-22.69300937652588,-256.6864490509033,-537.0822715759277
50,-1739382.3623657227,-20357.060432434082,-504.5003890991211,-13.71495246887207,-375.7127046585083,-893.9280796051025
51,-4610375.595092773,-73474.43580627441,-241.8691635131836,-49.66996192932129,-183.27293395996094,-474.8119783401489
52,-5324387.741088867,-85299.50141906738,-175.38387775421143,-42.75379657745361,-172.68677949905396,-390.82441806793213
53,-7172857.666015625,-113051.71966552734,-53.38591933250427,-30.586700439453125,-133.37018489837646,-217.34278678894043
54,-4081388.8549804688,-64038.12885284424,-235.7659101486206,-50.235443115234375,-249.99208450317383,-535.9934234619141
55,-2958449.363708496,-41634.42611694336,-353.13689708709717,-31.22100830078125,-300.53298473358154,-684.8909568786621
56,-2244934.65423584,-28319.091796875,-447.5436210632324,-17.431758642196655,-346.1014747619629,-811.0770034790039
57,-8072916.412353516,-140641.39366149902,-42.78143048286438,-43.74720573425293,-33.45028758049011,-119.97892141342163
58,-8424270.629882812,-143548.03085327148,-41.88939929008484,-11.989057064056396,-43.583470582962036,-97.46192693710327
59,-2734184.455871582,-36225.75521469116,-416.23005867004395,-14.765033721923828,-289.40746784210205,-720.4025459289551
60,-2427812.5762939453,-31172.547340393066,-427.84276008605957,-21.81410312652588,-316.2213325500488,-765.8782196044922
61,-7126978.302001953,-111633.5678100586,-67.6473319530487,-24.434595108032227,-132.89681673049927,-224.97873544692993
62,-2138237.953186035,-27548.38466644287,-452.1238327026367,-24.21905517578125,-345.16007900238037,-821.5030288696289
63,-7308829.498291016,-114253.83567810059,-49.689507484436035,-23.037290573120117,-136.49121522903442,-209.21801090240479
64,-5625753.402709961,-91826.83944702148,-164.26442861557007,-41.354851722717285,-136.6931915283203,-342.3124837875366
65,-254309.17739868164,-4145.832061767578,-632.4589252471924,-46.94228172302246,-498.62637519836426,-1178.027572631836
66,-180366.9810295105,-3352.8873324394226,-631.3847064971924,-58.07122230529785,-499.4016647338867,-1188.8575172424316
67,-271619.3675994873,-4361.766874790192,-618.1246280670166,-45.23304462432861,-484.89394187927246,-1148.2516193389893
68,-7668943.786621094,-126980.2188873291,-59.38297510147095,-29.056196212768555,-70.26382684707642,-158.70299220085144
69,-3710039.9017333984,-55014.51015472412,-318.82708072662354,-27.138514518737793,-244.35577392578125,-590.3213310241699
70,-7618090.8203125,-123532.49549865723,-45.622795820236206,-30.520098209381104,-100.60118436813354,-176.74407720565796
71,-3116000.3662109375,-46527.390480041504,-338.5906457901001,-44.129276275634766,-248.46057891845703,-631.1805152893066
