index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,30999.993245424834,99.408907923409,33.96204775338052,50.61202792591414,0.41738736629486084,0.19252648949623108,0.3776482045650482,-2830090.90423584,-36652.31943130493,-402.0942211151123,-60.950541496276855,-253.72378826141357,-716.7685508728027
1,2020-05-10,42078.93399880201,70.38144419636315,24.022578455931995,35.557358173610034,0.26618310809135437,0.45739948749542236,0.4732842743396759,-2799090.9576416016,-35885.97774505615,-370.95561027526855,-48.13364028930664,-227.15158462524414,-646.2408542633057
2,2020-05-17,58555.03275055552,65.81866037153213,22.53796201427836,26.741760906002725,0.2890675663948059,0.5896667838096619,0.5920842289924622,-2757011.9857788086,-35269.8278427124,-342.74730682373047,-38.49384546279907,-207.52828121185303,-588.7694358825684
3,2020-05-24,94608.52640050926,77.16404973653309,26.57128335542134,25.344373379627534,0.3453013598918915,0.5566748380661011,0.5701487064361572,-2698456.9549560547,-34596.683979034424,-311.39447689056396,-31.829748153686523,-191.59467220306396,-534.8188877105713
4,2020-05-31,145643.09886999332,104.60436297353074,36.066946346712,29.618593285015137,0.23538702726364136,0.5621195435523987,0.5297157168388367,-2603848.457336426,-33740.46325683594,-282.01653957366943,-26.14797353744507,-177.84606218338013,-486.0105514526367
5,2020-06-07,182927.7897730557,159.4718891034646,54.90753195029965,40.81843570893135,0.16209320724010468,0.5117902159690857,0.34463050961494446,-2458205.4138183594,-32484.13324356079,-252.68208980560303,-20.43567180633545,-163.43932151794434,-436.5570545196533
6,2020-06-14,189216.70658983258,229.03576799932108,78.87342232867624,59.94905341466941,0.25776034593582153,0.4107946753501892,0.2705641984939575,-2275277.7099609375,-30606.85634613037,-220.28436660766602,-14.772675037384033,-146.29663228988647,-381.35366439819336
7,2020-06-21,197453.31562176155,267.4619559921708,91.74148548988516,79.00572450086776,0.23951853811740875,0.49132972955703735,0.3164845407009125,-2086061.0961914062,-28213.586807250977,-188.69116306304932,-8.561375737190247,-125.47409534454346,-322.72660732269287
8,2020-06-28,178856.18147784413,286.06008020061074,97.58365022266247,89.7831384793781,0.2093963772058487,0.47216105461120605,0.30794769525527954,-1888607.7880859375,-25599.55358505249,-159.8874568939209,-2.3551981151103973,-104.5992374420166,-266.84186458587646
9,2020-07-05,137172.5549927464,304.4240595100116,103.8461076057822,96.70238510465605,0.27700361609458923,0.0,0.40174493193626404,-1709751.5106201172,-22811.660766601562,-131.0744047164917,0.0,-85.02304553985596,-216.09742641448975
10,2020-07-12,129231.88235643749,292.8375023020082,100.71053906162372,100.01684517255143,0.3640134334564209,0.0,0.5382352471351624,-1572579.002380371,-19978.551864624023,-103.31555604934692,0.0,-66.83143377304077,-170.14697790145874
11,2020-07-19,132082.60843943607,264.8099046543619,91.55150092221109,95.29183220336755,0.36712905764579773,0.0,0.48715564608573914,-1443347.16796875,-17377.415895462036,-78.82365584373474,0.0,-52.04167366027832,-130.86532354354858
12,2020-07-26,120253.20071267814,258.1989916638803,89.62191725016474,89.27227214469633,0.32745426893234253,0.0,0.3907160460948944,-1311264.6102905273,-14934.663772583008,-56.66685700416565,0.0,-39.09962475299835,-95.76647877693176
13,2020-08-02,110290.6173620182,252.82260150943662,87.86207657582693,86.16496018674405,0.49608272314071655,0.0,0.5500428676605225,-1191011.4288330078,-12517.526149749756,-34.44576859474182,0.0,-24.557359516620636,-59.00312662124634
14,2020-08-09,160986.11643144302,227.55083914105634,78.97920005648697,81.05671852762964,0.9644331932067871,0.0,0.9468188881874084,-1080720.8061218262,-10259.80830192566,-14.197245240211487,0.0,-10.52187830209732,-24.719123542308807
15,2020-08-16,336025.6063572373,231.7098886995422,80.43244412974614,75.54382858927505,0.9170177578926086,0.0,0.9195276498794556,-919734.6687316895,-8141.400218009949,-4.0539562702178955,0.0,-3.318898379802704,-7.372854650020599
16,2020-08-23,583709.0763519296,382.19891079908473,133.09820199376372,89.0445767443936,0.9206486344337463,0.0,0.9244945049285889,-583709.0969085693,-5305.638909339905,-2.3282818496227264,0.0,-1.7550133168697357,-4.083295166492462
