index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,53476.0,92.0,41.0,54.0,0.9845800399780273,0.9477142095565796,0.9770504236221313,-8625922.393798828,-148763.99993896484,-37.83199191093445,-18.637588024139404,-147.13720083236694,-203.60678672790527
1,2020-05-10,239351.0,67.0,22.0,37.0,0.9898401498794556,0.926770031452179,0.9986603260040283,-8572446.44165039,-147993.0019378662,-17.216648161411285,-10.2698814868927,-129.15191650390625,-156.63845300674438
2,2020-05-17,905171.0,153.0,54.0,34.0,0.9991218447685242,0.9263433814048767,0.9973335266113281,-8333095.550537109,-146968.00231933594,-16.65256917476654,-9.449383020401001,-128.6918044090271,-154.79375839233398
3,2020-05-24,2356391.0,635.0,191.0,102.0,0.9986722469329834,0.9154312014579773,0.9942299127578735,-7427924.346923828,-143481.99844360352,-16.406860947608948,-8.582380414009094,-128.6363959312439,-153.62563490867615
4,2020-05-31,2812981.0,2079.0,759.0,355.0,0.998857855796814,0.9232200384140015,0.9971555471420288,-5071533.203125,-130872.99346923828,-16.379016637802124,-7.970897555351257,-128.55589389801025,-152.9058051109314
5,2020-06-07,1488135.0,4277.0,1525.0,880.0,0.9986248016357422,0.9352786540985107,0.9993662238121033,-2258551.9790649414,-99597.99766540527,-16.357940435409546,-7.569469213485718,-128.4942865371704,-152.42169857025146
6,2020-06-14,534916.0,4257.0,1494.0,1216.0,0.999995231628418,0.9963927865028381,0.9990113973617554,-770417.0227050781,-56396.99935913086,-16.33097380399704,-7.067281603813171,-128.4647822380066,-151.86303734779358
7,2020-06-21,170776.0,2491.0,896.0,1059.0,0.9867064356803894,0.41996994614601135,0.6734951734542847,-235501.00326538086,-24892.001152038574,-16.307182610034943,-6.6686999797821045,-128.446364402771,-151.42224311828613
8,2020-06-28,46532.0,1161.0,383.0,617.0,0.9494247436523438,0.41996994614601135,0.5543472170829773,-64724.99966621399,-9218.000173568726,-16.09397977590561,-3.4023290872573853,-124.54407215118408,-144.04037475585938
9,2020-07-05,12751.0,390.0,133.0,288.0,0.8929418921470642,0.0,0.5543472170829773,-18193.000555038452,-3109.000027179718,-14.94060754776001,0.0,-113.45051527023315,-128.39112281799316
10,2020-07-12,3807.0,151.0,45.0,109.0,0.9292027950286865,0.0,0.5522134304046631,-5442.000180482864,-969.0000116825104,-11.930282413959503,0.0,-100.05980730056763,-111.9900906085968
11,2020-07-19,1100.0,33.0,15.0,51.0,0.953299343585968,0.0,0.5568777918815613,-1635.0001096725464,-329.99999821186066,-8.193258196115494,0.0,-86.55579090118408,-94.74905490875244
12,2020-07-26,380.0,19.0,4.0,8.0,0.9730385541915894,0.0,0.5515968799591064,-535.0000225007534,-121.99999764561653,-5.718804523348808,0.0,-73.047935962677,-78.76674234867096
13,2020-08-02,103.0,6.0,3.0,6.0,0.9850957989692688,0.0,0.5298998355865479,-155.0000044517219,-43.99999976158142,-4.151603579521179,0.0,-59.54674482345581,-63.698349595069885
14,2020-08-09,34.0,3.0,0.0,2.0,0.9874902367591858,0.0,0.4902941882610321,-52.00000014156103,-13.9999995008111,-3.258006274700165,0.0,-45.673444867134094,-48.931453227996826
15,2020-08-16,14.0,0.0,0.0,0.0,0.9758399128913879,0.0,0.4902941882610321,-18.000000272877514,-6.000000284984708,-2.6905735954642296,0.0,-30.91278076171875,-33.60335558652878
16,2020-08-23,4.0,1.0,0.0,1.0,0.9180892109870911,0.0,0.4902941882610321,-3.9999998989515007,-0.9999999747378752,-1.9794449210166931,0.0,-15.456442534923553,-17.435887455940247
