index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,48816.0,101.0,35.0,46.0,0.9266538619995117,0.9755229949951172,0.7759734988212585,-5059724.807739258,-74284.99698638916,-176.67644023895264,-13.035638332366943,-160.0825309753418,-349.79464530944824
1,2020-05-10,199117.0,77.0,28.0,39.0,0.9566834568977356,0.9779636263847351,0.916474461555481,-5010908.889770508,-73536.99684143066,-154.8115611076355,-4.751662015914917,-139.06593322753906,-298.62919092178345
2,2020-05-17,697582.0,169.0,38.0,29.0,0.8043907284736633,0.95872962474823,0.834660530090332,-4811791.9921875,-72593.99890899658,-152.18433141708374,-4.431497156620026,-133.54426622390747,-290.1601266860962
3,2020-05-24,1497726.0,486.0,206.0,85.0,0.7022797465324402,0.9442763924598694,0.34086915850639343,-4114210.1287841797,-69738.99841308594,-148.0295181274414,-4.0674251317977905,-129.96562719345093,-282.06260204315186
4,2020-05-31,1352877.0,1438.0,469.0,238.0,0.0853051245212555,0.7853185534477234,0.020497307181358337,-2616484.0698242188,-60622.99728393555,-140.6478762626648,-3.6454248428344727,-121.22161388397217,-265.51493883132935
5,2020-06-07,547045.0,2263.0,739.0,497.0,0.056266579777002335,0.8476407527923584,0.046833377331495285,-1263607.0251464844,-42495.999336242676,-127.47229337692261,-2.889944016933441,-106.42036199569702,-236.7826223373413
6,2020-06-14,255693.0,1535.0,595.0,562.0,0.009637082926928997,0.9649423956871033,0.009411264210939407,-716561.9850158691,-24233.0002784729,-105.25949001312256,-1.6609054803848267,-88.50812911987305,-195.42853832244873
7,2020-06-21,120998.0,827.0,294.0,436.0,0.10508091747760773,0.910268247127533,0.09824821352958679,-460868.9785003662,-13740.00072479248,-80.97866773605347,-0.8696369826793671,-69.5479154586792,-151.39622569084167
8,2020-06-28,54905.0,387.0,117.0,247.0,0.18369081616401672,0.927302360534668,0.15914511680603027,-339870.9774017334,-8734.999895095825,-56.31436109542847,-0.35346485674381256,-50.17460584640503,-106.8424379825592
9,2020-07-05,30593.0,201.0,61.0,128.0,0.7177167534828186,0.0,0.7753379940986633,-284965.99197387695,-6356.99987411499,-33.640435338020325,0.0,-32.01358914375305,-65.65402865409851
10,2020-07-12,34194.0,108.0,35.0,60.0,0.9226406216621399,0.0,0.858043372631073,-254373.00205230713,-5149.9998569488525,-17.978712916374207,0.0,-19.8470801115036,-37.825793623924255
11,2020-07-19,36220.0,87.0,28.0,30.0,0.9332596659660339,0.0,0.8281932473182678,-220179.00943756104,-4334.000051021576,-12.782448530197144,0.0,-15.864582359790802,-28.647030293941498
12,2020-07-26,36748.0,70.0,20.0,31.0,0.9189491271972656,0.0,0.8008598685264587,-183959.0072631836,-3628.000020980835,-10.851150006055832,0.0,-12.623484432697296,-23.474634289741516
13,2020-08-02,36562.0,63.0,26.0,18.0,0.9016658067703247,0.0,0.9159432053565979,-147211.00330352783,-2903.0001163482666,-8.923645317554474,0.0,-8.779558539390564,-17.70320177078247
14,2020-08-09,36580.0,95.0,28.0,27.0,0.8921047449111938,0.0,0.8784219622612,-110649.00159835815,-2204.0000557899475,-6.583867967128754,0.0,-5.620208382606506,-12.204075157642365
15,2020-08-16,36245.0,72.0,31.0,20.0,0.9437217712402344,0.0,0.9345306754112244,-74068.99929046631,-1489.0000224113464,-3.8719654083251953,0.0,-3.5268280655145645,-7.39879310131073
16,2020-08-23,37824.0,84.0,25.0,27.0,0.9350388050079346,0.0,0.9231293201446533,-37823.99892807007,-758.0000162124634,-1.5885274857282639,0.0,-1.4731161296367645,-3.0616436898708344
