index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,50474.11883390203,99.408907923409,33.96204775338052,50.61202792591414,0.9833592176437378,0.8082756996154785,0.928570032119751,-3524538.040161133,-58541.34559631348,-172.85475730895996,-69.07144069671631,-315.5416011810303,-557.4677467346191
1,2020-05-10,196436.24537268025,72.84158287068058,24.86726187123682,35.65737085861831,0.9980931878089905,0.5477151870727539,0.7502363920211792,-3474063.8732910156,-57769.808769226074,-152.18071937561035,-59.87109661102295,-296.8357563018799,-508.8875341415405
2,2020-05-17,495070.8257712978,138.35623917662306,47.43970978960899,33.486228553498755,0.9241225719451904,0.2643745243549347,0.22960971295833588,-3277627.5634765625,-56856.81343078613,-151.73076391220093,-55.79646110534668,-292.0081615447998,-499.5353364944458
3,2020-05-24,645996.2729875557,425.0113631371529,145.84179366395438,72.76156412610626,0.4789162576198578,0.09605157375335693,0.05454806983470917,-2782556.5338134766,-54231.61029815674,-150.4529356956482,-48.59952449798584,-277.6773929595947,-476.7298221588135
4,2020-05-31,497779.59240826126,862.2569808324199,293.90032415072244,172.3642775939532,0.575764536857605,0.07887984812259674,0.06605321913957596,-2136560.2493286133,-47885.74695587158,-141.48271083831787,-39.42758321762085,-254.47700023651123,-435.38723945617676
5,2020-06-07,417119.39021310525,992.0306975344872,338.02587468598796,272.25644603841994,0.5833930969238281,0.08216112107038498,0.0692417323589325,-1638780.5938720703,-38735.72111129761,-126.28072500228882,-29.88424301147461,-230.80999851226807,-386.9749116897583
6,2020-06-14,329337.7947244963,874.2694786696428,297.30439743293573,293.1116779728083,0.5938514471054077,0.08413597196340561,0.07929497957229614,-1221661.1862182617,-30003.881454467773,-113.85248899459839,-20.791492462158203,-208.80415439605713,-343.44810962677
7,2020-06-21,253343.512961707,721.5802986177791,244.83605319221778,261.7228005080624,0.6052740216255188,0.08404101431369781,0.09111812710762024,-892323.3985900879,-22614.98212814331,-102.21567153930664,-12.07775592803955,-187.8739595413208,-302.16736793518066
8,2020-06-28,188899.76510159054,571.4193788079991,193.61859373020678,214.5800975890412,0.6165740489959717,0.08140800893306732,0.1017851009964943,-638979.9118041992,-16665.862798690796,-91.17817878723145,-3.5930711030960083,-167.745041847229,-262.5162720680237
9,2020-07-05,137225.34878708795,440.56948412375016,149.16242622983233,168.09616889668482,0.6254903674125671,0.0,0.10950633883476257,-450080.15632629395,-12029.409408569336,-80.6047797203064,0.0,-148.18516969680786,-228.7899398803711
10,2020-07-12,99207.46568817935,332.17419116097255,112.48624399899215,128.12789755486702,0.630055844783783,0.0,0.11657338589429855,-312854.79068756104,-8497.852087020874,-70.37997841835022,0.0,-128.9982795715332,-199.37825202941895
11,2020-07-19,71143.0510814916,244.93754047852227,82.94749125365915,95.59220244344792,0.6306650638580322,0.0,0.12391805648803711,-213647.31788635254,-5868.388414382935,-60.374486446380615,0.0,-110.06207466125488,-170.43655157089233
12,2020-07-26,50699.67886045873,177.87524497533434,60.22495145331343,70.06015053470672,0.6286641359329224,0.0,0.13176506757736206,-142504.26292419434,-3946.7892050743103,-50.456392765045166,0.0,-91.32834672927856,-141.7847442626953
13,2020-08-02,35962.296745859836,127.92536312884423,43.30533900417688,50.69426471581863,0.6258235573768616,0.0,0.1393573135137558,-91804.58188056946,-2559.2103600502014,-40.52630066871643,0.0,-72.78193831443787,-113.30824613571167
14,2020-08-09,25420.47614592425,91.3864684208614,30.934165074149604,36.36590544374021,0.6231169104576111,0.0,0.1450827419757843,-55842.286348342896,-1565.1364624500275,-30.530893802642822,0.0,-54.41434383392334,-84.94524836540222
15,2020-08-16,17897.96169308985,64.96351909362268,21.99050539702885,25.93285760743089,0.6192247271537781,0.0,0.14735223352909088,-30421.81134223938,-856.982097029686,-20.457735657691956,0.0,-36.199140548706055,-56.656880378723145
16,2020-08-23,12523.851363727648,45.99260863533831,15.569041180264643,18.411557824172846,0.6130008697509766,0.0,0.14858528971672058,-12523.850798606873,-354.70418632030487,-10.295583307743073,0.0,-18.078942596912384,-28.374525904655457
