index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,50532.44552672145,99.408907923409,33.96204775338052,50.61202792591414,0.9396016001701355,0.8591071367263794,0.9627344012260437,-5405565.26184082,-79256.31523132324,-147.14908599853516,-13.69205117225647,-135.07064580917358,-295.91176986694336
1,2020-05-10,214587.16074189654,72.84042606137646,24.869169693148372,35.65886739322759,0.9700352549552917,0.971512496471405,0.9529456496238708,-5355032.730102539,-78484.77363586426,-125.66835880279541,-4.789189398288727,-116.85103178024292,-247.30857610702515
2,2020-05-17,780998.5694787402,139.21965392559272,47.77652489041789,33.56259928235113,0.9491277933120728,0.9691510200500488,0.8625384569168091,-5140445.709228516,-77570.62911987305,-123.62477779388428,-3.5143765807151794,-115.48302173614502,-242.6221776008606
3,2020-05-24,1674166.805461645,498.71689105526406,171.4200531967743,78.93650968743397,0.810211181640625,0.9689040184020996,0.03567090630531311,-4359447.09777832,-74691.64371490479,-122.13385105133057,-3.1599655747413635,-112.96441555023193,-238.25822353363037
4,2020-05-31,1338009.1593559382,1536.663547181191,527.5829468008294,254.13376338145542,0.11021634191274643,0.8399645686149597,0.04977506399154663,-2685280.227661133,-64989.2520904541,-119.05618906021118,-2.893281877040863,-102.37603187561035,-224.32549953460693
5,2020-06-07,562593.9514202209,2240.853856724561,757.1613047099434,517.3309631934026,0.07194060832262039,0.919634222984314,0.07300890237092972,-1347270.9655761719,-45876.007080078125,-108.22854042053223,-2.3798704147338867,-85.20671129226685,-195.81511974334717
6,2020-06-14,264974.4371939322,1662.2330683307914,559.0427215939961,582.119540691207,0.08542081713676453,0.9260939359664917,0.0891985148191452,-784677.0286560059,-27265.496253967285,-87.05567121505737,-1.5567919611930847,-68.17357540130615,-156.7860496044159
7,2020-06-21,126694.34241549419,874.4987130510472,291.22513003905095,428.20313490878414,0.13344813883304596,0.9316585659980774,0.11053387075662613,-519702.6252746582,-16168.94245147705,-64.03486728668213,-0.9373954683542252,-50.31561255455017,-115.28788805007935
8,2020-06-28,62815.380420670124,427.12429971056645,139.90851049674538,248.48181867300758,0.4240649342536926,0.8799537420272827,0.47192975878715515,-393008.30364227295,-10641.770362854004,-40.90371131896973,-0.2892165817320347,-32.02558159828186,-73.21851253509521
9,2020-07-05,45916.362537472975,214.14021194148907,69.21496805904283,129.82301838140896,0.8411709666252136,0.0,0.8346613049507141,-330192.9235458374,-7936.309576034546,-21.327942609786987,0.0,-16.7383074760437,-38.066248297691345
10,2020-07-12,46269.26526431229,131.95908216747438,43.47037204067781,68.56943753519596,0.9405751824378967,0.0,0.9292847514152527,-284276.55696868896,-6448.414921760559,-10.723153501749039,0.0,-8.876696974039078,-19.599849432706833
11,2020-07-19,45254.622460724466,108.39753917811112,36.87465727687621,42.43000441269783,0.9479781985282898,0.0,0.9340910315513611,-238007.2832107544,-5368.069410324097,-7.616230100393295,0.0,-6.2392618507146835,-13.855491131544113
12,2020-07-26,43188.90240845136,103.34965974698503,35.93110140843419,33.18491891647665,0.949749231338501,0.0,0.951200008392334,-192752.6593208313,-4379.7555565834045,-6.118221953511238,0.0,-4.793671518564224,-10.911892801523209
13,2020-08-02,41092.146005039736,99.80456329817055,35.08008988638742,30.093359496602403,0.9632100462913513,0.0,0.9693832993507385,-149563.75360488892,-3421.3000535964966,-4.751762747764587,0.0,-3.5568740218877792,-8.308635950088501
14,2020-08-09,39103.587865174224,95.3860239299041,33.710864464941864,28.533410733761723,0.9704803824424744,0.0,0.9714975357055664,-108471.60816192627,-2499.7447431087494,-3.561554104089737,0.0,-2.6890503242611885,-6.250603795051575
15,2020-08-16,36477.55936451281,90.8967027362865,32.216283843425494,27.23229699581706,0.9421895146369934,0.0,0.945248544216156,-69368.01671981812,-1620.035171508789,-2.659427374601364,0.0,-2.0612675696611404,-4.720694571733475
16,2020-08-23,32890.46058989237,86.14144293357448,30.573216909043577,25.93576197260765,0.9425073862075806,0.0,0.9379228949546814,-32890.45989513397,-783.2423597574234,-1.5489502809941769,0.0,-1.2247842736542225,-2.773734536021948
